Date,number
2019-01-01,86
2019-02-01,106
2019-03-01,103
2019-04-01,114
2019-05-01,118
2019-06-01,92
2019-07-01,109
2019-08-01,101
2019-09-01,113
2019-10-01,115
2019-11-01,118
2019-12-01,129
2019-13-01,111
2019-14-01,108
2019-15-01,115
2019-16-01,122
2019-17-01,141
2019-18-01,143
2019-19-01,126
2019-20-01,114
2019-21-01,126
2019-22-01,107
2019-23-01,108
2019-24-01,102
2019-25-01,126
2019-26-01,146
2019-27-01,119
2019-28-01,131
2019-29-01,107
2019-30-01,110
2019-31-01,122
2019-01-02,126
2019-02-02,143
2019-03-02,129
2019-04-02,136
2019-05-02,131
2019-06-02,139
2019-07-02,110
2019-08-02,113
2019-09-02,100
2019-10-02,99
2019-11-02,108
2019-12-02,107
2019-13-02,104
2019-14-02,99
2019-15-02,136
2019-16-02,142
2019-17-02,127
2019-18-02,134
2019-19-02,148
2019-20-02,138
2019-21-02,132
2019-22-02,153
2019-23-02,152
2019-24-02,149
2019-25-02,138
2019-26-02,127
2019-27-02,123
2019-28-02,130
2019-01-03,146
2019-02-03,157
2019-03-03,118
2019-04-03,129
2019-05-03,121
2019-06-03,112
2019-07-03,128
2019-08-03,118
2019-09-03,146
2019-10-03,139
2019-11-03,129
2019-12-03,165
2019-13-03,162
2019-14-03,139
2019-15-03,159
2019-16-03,163
2019-17-03,146
2019-18-03,131
2019-19-03,128
2019-20-03,114
2019-21-03,126
2019-22-03,127
2019-23-03,126
2019-24-03,122
2019-25-03,124
2019-26-03,111
2019-27-03,101
2019-28-03,149
2019-29-03,152
2019-30-03,188
2019-31-03,177
2019-01-04,155
2019-02-04,134
2019-03-04,142
2019-04-04,122
2019-05-04,137
2019-06-04,180
2019-07-04,168
2019-08-04,139
2019-09-04,125
2019-10-04,140
2019-11-04,142
2019-12-04,152
2019-13-04,194
2019-14-04,143
2019-15-04,156
2019-16-04,136
2019-17-04,161
2019-18-04,185
2019-19-04,154
2019-20-04,140
2019-21-04,120
2019-22-04,159
2019-23-04,167
2019-24-04,185
2019-25-04,163
2019-26-04,175
2019-27-04,146
2019-28-04,135
2019-29-04,152
2019-30-04,156
2019-01-05,192
2019-02-05,191
2019-03-05,213
2019-04-05,176
2019-05-05,163
2019-06-05,183
2019-07-05,169
2019-08-05,184
2019-09-05,202
2019-10-05,195
2019-11-05,206
2019-12-05,153
2019-13-05,165
2019-14-05,174
2019-15-05,144
2019-16-05,158
2019-17-05,185
2019-18-05,207
2019-19-05,149
2019-20-05,177
2019-21-05,158
2019-22-05,155
2019-23-05,146
2019-24-05,186
2019-25-05,167
2019-26-05,154
2019-27-05,138
2019-28-05,172
2019-29-05,166
2019-30-05,193
2019-31-05,188
2019-01-06,166
2019-02-06,152
2019-03-06,193
2019-04-06,221
2019-05-06,190
2019-06-06,168
2019-07-06,178
2019-08-06,175
2019-09-06,197
2019-10-06,220
2019-11-06,193
2019-12-06,193
2019-13-06,178
2019-14-06,155
2019-15-06,150
2019-16-06,151
2019-17-06,152
2019-18-06,182
2019-19-06,181
2019-20-06,182
2019-21-06,163
2019-22-06,170
2019-23-06,158
2019-24-06,126
2019-25-06,84
2019-26-06,86
2019-27-06,87
2019-28-06,75
2019-29-06,74
2019-30-06,74
2019-01-07,62
2019-02-07,80
2019-03-07,108
2019-04-07,87
2019-05-07,101
2019-06-07,98
2019-07-07,84
2019-08-07,92
2019-09-07,92
2019-10-07,92
2019-11-07,90
2019-12-07,90
2019-13-07,87
2019-14-07,74
2019-15-07,99
2019-16-07,90
2019-17-07,109
2019-18-07,80
2019-19-07,92
2019-20-07,103
2019-21-07,85
2019-22-07,69
2019-23-07,82
2019-24-07,92
2019-25-07,91
2019-26-07,91
2019-27-07,89
2019-28-07,87
2019-29-07,84
2019-30-07,79
2019-31-07,94
2019-01-08,61
2019-02-08,79
2019-03-08,117
2019-04-08,93
2019-05-08,73
2019-06-08,64
2019-07-08,59
2019-08-08,67
2019-09-08,72
2019-10-08,58
2019-11-08,72
2019-12-08,70
2019-13-08,77
2019-14-08,65
2019-15-08,80
2019-16-08,88
2019-17-08,89
2019-18-08,97
2019-19-08,65
2019-20-08,78
2019-21-08,52
2019-22-08,59
2019-23-08,79
2019-24-08,107
2019-25-08,86
2019-26-08,75
2019-27-08,87
2019-28-08,72
2019-29-08,71
2019-30-08,106
2019-31-08,92
2019-01-09,78
2019-02-09,72
2019-03-09,79
2019-04-09,65
2019-05-09,61
2019-06-09,69
2019-07-09,84
2019-08-09,86
2019-09-09,85
2019-10-09,72
2019-11-09,75
2019-12-09,61
2019-13-09,86
2019-14-09,96
2019-15-09,99
2019-16-09,76
2019-17-09,62
2019-18-09,75
2019-19-09,65
2019-20-09,78
2019-21-09,95
2019-22-09,66
2019-23-09,61
2019-24-09,63
2019-25-09,61
2019-26-09,53
2019-27-09,74
2019-28-09,84
2019-29-09,77
2019-30-09,73
2019-01-10,67
2019-02-10,59
2019-03-10,60
2019-04-10,68
2019-05-10,58
2019-06-10,50
2019-07-10,54
2019-08-10,51
2019-09-10,57
2019-10-10,45
2019-11-10,55
2019-12-10,59
2019-13-10,62
2019-14-10,50
2019-15-10,41
2019-16-10,49
2019-17-10,56
2019-18-10,61
2019-19-10,73
2019-20-10,60
2019-21-10,55
2019-22-10,48
2019-23-10,50
2019-24-10,59
2019-25-10,65
2019-26-10,65
2019-27-10,54
2019-28-10,53
2019-29-10,61
2019-30-10,53
2019-31-10,60
2019-01-11,49
2019-02-11,62
2019-03-11,45
2019-04-11,46
2019-05-11,55
2019-06-11,50
2019-07-11,58
2019-08-11,79
2019-09-11,85
2019-10-11,53
2019-11-11,60
2019-12-11,50
2019-13-11,59
2019-14-11,43
2019-15-11,47
2019-16-11,39
2019-17-11,51
2019-18-11,44
2019-19-11,54
2019-20-11,41
2019-21-11,37
2019-22-11,52
2019-23-11,56
2019-24-11,51
2019-25-11,72
2019-26-11,69
2019-27-11,71
2019-28-11,48
2019-29-11,67
2019-30-11,60
2019-01-12,62
2019-02-12,58
2019-03-12,58
2019-04-12,68
2019-05-12,74
2019-06-12,58
2019-07-12,60
2019-08-12,47
2019-09-12,54
2019-10-12,69
2019-11-12,62
2019-12-12,68
2019-13-12,58
2019-14-12,63
2019-15-12,61
2019-16-12,50
2019-17-12,63
2019-18-12,59
2019-19-12,61
2019-20-12,52
2019-21-12,62
2019-22-12,77
2019-23-12,61
