Date,number
2019-01-01,199
2019-02-01,222
2019-03-01,231
2019-04-01,234
2019-05-01,215
2019-06-01,205
2019-07-01,228
2019-08-01,233
2019-09-01,276
2019-10-01,250
2019-11-01,243
2019-12-01,251
2019-13-01,233
2019-14-01,238
2019-15-01,249
2019-16-01,261
2019-17-01,239
2019-18-01,264
2019-19-01,235
2019-20-01,224
2019-21-01,236
2019-22-01,242
2019-23-01,240
2019-24-01,263
2019-25-01,273
2019-26-01,216
2019-27-01,208
2019-28-01,244
2019-29-01,241
2019-30-01,280
2019-31-01,282
2019-01-02,280
2019-02-02,251
2019-03-02,213
2019-04-02,277
2019-05-02,239
2019-06-02,247
2019-07-02,241
2019-08-02,265
2019-09-02,257
2019-10-02,225
2019-11-02,231
2019-12-02,263
2019-13-02,251
2019-14-02,256
2019-15-02,257
2019-16-02,211
2019-17-02,192
2019-18-02,191
2019-19-02,231
2019-20-02,241
2019-21-02,220
2019-22-02,239
2019-23-02,208
2019-24-02,201
2019-25-02,195
2019-26-02,184
2019-27-02,204
2019-28-02,206
2019-01-03,219
2019-02-03,183
2019-03-03,153
2019-04-03,211
2019-05-03,214
2019-06-03,222
2019-07-03,209
2019-08-03,216
2019-09-03,224
2019-10-03,168
2019-11-03,196
2019-12-03,217
2019-13-03,211
2019-14-03,214
2019-15-03,213
2019-16-03,220
2019-17-03,176
2019-18-03,206
2019-19-03,233
2019-20-03,210
2019-21-03,226
2019-22-03,184
2019-23-03,201
2019-24-03,166
2019-25-03,186
2019-26-03,217
2019-27-03,203
2019-28-03,205
2019-29-03,222
2019-30-03,202
2019-31-03,168
2019-01-04,207
2019-02-04,207
2019-03-04,203
2019-04-04,205
2019-05-04,210
2019-06-04,191
2019-07-04,162
2019-08-04,188
2019-09-04,187
2019-10-04,200
2019-11-04,214
2019-12-04,215
2019-13-04,182
2019-14-04,189
2019-15-04,199
2019-16-04,207
2019-17-04,187
2019-18-04,200
2019-19-04,197
2019-20-04,203
2019-21-04,164
2019-22-04,192
2019-23-04,202
2019-24-04,234
2019-25-04,221
2019-26-04,235
2019-27-04,183
2019-28-04,196
2019-29-04,195
2019-30-04,206
2019-01-05,244
2019-02-05,258
2019-03-05,253
2019-04-05,236
2019-05-05,209
2019-06-05,235
2019-07-05,224
2019-08-05,245
2019-09-05,267
2019-10-05,246
2019-11-05,235
2019-12-05,233
2019-13-05,243
2019-14-05,249
2019-15-05,246
2019-16-05,248
2019-17-05,245
2019-18-05,230
2019-19-05,209
2019-20-05,246
2019-21-05,249
2019-22-05,271
2019-23-05,230
2019-24-05,242
2019-25-05,224
2019-26-05,198
2019-27-05,194
2019-28-05,222
2019-29-05,231
2019-30-05,246
2019-31-05,244
2019-01-06,256
2019-02-06,232
2019-03-06,233
2019-04-06,241
2019-05-06,253
2019-06-06,227
2019-07-06,243
2019-08-06,242
2019-09-06,222
2019-10-06,256
2019-11-06,246
2019-12-06,232
2019-13-06,224
2019-14-06,258
2019-15-06,229
2019-16-06,211
2019-17-06,266
2019-18-06,245
2019-19-06,243
2019-20-06,258
2019-21-06,264
2019-22-06,232
2019-23-06,216
2019-24-06,235
2019-25-06,234
2019-26-06,238
2019-27-06,234
2019-28-06,239
2019-29-06,219
2019-30-06,185
2019-01-07,291
2019-02-07,257
2019-03-07,274
2019-04-07,233
2019-05-07,253
2019-06-07,261
2019-07-07,203
2019-08-07,226
2019-09-07,226
2019-10-07,253
2019-11-07,274
2019-12-07,283
2019-13-07,281
2019-14-07,235
2019-15-07,269
2019-16-07,260
2019-17-07,255
2019-18-07,249
2019-19-07,286
2019-20-07,264
2019-21-07,250
2019-22-07,265
2019-23-07,244
2019-24-07,263
2019-25-07,243
2019-26-07,251
2019-27-07,271
2019-28-07,251
2019-29-07,228
2019-30-07,222
2019-31-07,257
2019-01-08,332
2019-02-08,359
2019-03-08,347
2019-04-08,339
2019-05-08,330
2019-06-08,284
2019-07-08,277
2019-08-08,424
2019-09-08,595
2019-10-08,583
2019-11-08,623
2019-12-08,727
2019-13-08,642
2019-14-08,743
2019-15-08,658
2019-16-08,744
2019-17-08,727
2019-18-08,646
2019-19-08,690
2019-20-08,687
2019-21-08,764
2019-22-08,758
2019-23-08,762
2019-24-08,699
2019-25-08,736
2019-26-08,825
2019-27-08,730
2019-28-08,738
2019-29-08,680
2019-30-08,605
2019-31-08,542
2019-01-09,778
2019-02-09,764
2019-03-09,872
2019-04-09,838
2019-05-09,777
2019-06-09,816
2019-07-09,783
2019-08-09,754
2019-09-09,797
2019-10-09,792
2019-11-09,734
2019-12-09,688
2019-13-09,708
2019-14-09,620
2019-15-09,610
2019-16-09,669
2019-17-09,661
2019-18-09,721
2019-19-09,685
2019-20-09,679
2019-21-09,653
2019-22-09,674
2019-23-09,754
2019-24-09,721
2019-25-09,737
2019-26-09,733
2019-27-09,745
2019-28-09,702
2019-29-09,657
2019-30-09,690
2019-01-10,660
2019-02-10,631
2019-03-10,699
2019-04-10,720
2019-05-10,759
2019-06-10,676
2019-07-10,682
2019-08-10,477
2019-09-10,244
2019-10-10,257
2019-11-10,290
2019-12-10,320
2019-13-10,264
2019-14-10,284
2019-15-10,354
2019-16-10,327
2019-17-10,295
2019-18-10,324
2019-19-10,338
2019-20-10,279
2019-21-10,272
2019-22-10,286
2019-23-10,312
2019-24-10,299
2019-25-10,272
2019-26-10,279
2019-27-10,219
2019-28-10,262
2019-29-10,237
2019-30-10,248
2019-31-10,275
2019-01-11,266
2019-02-11,231
2019-03-11,245
2019-04-11,274
2019-05-11,232
2019-06-11,245
2019-07-11,234
2019-08-11,296
2019-09-11,261
2019-10-11,263
2019-11-11,274
2019-12-11,290
2019-13-11,258
2019-14-11,276
2019-15-11,322
2019-16-11,259
2019-17-11,247
2019-18-11,259
2019-19-11,267
2019-20-11,239
2019-21-11,242
2019-22-11,254
2019-23-11,281
2019-24-11,255
2019-25-11,283
2019-26-11,258
2019-27-11,275
2019-28-11,210
2019-29-11,263
2019-30-11,208
2019-01-12,182
2019-02-12,223
2019-03-12,224
2019-04-12,226
2019-05-12,240
2019-06-12,252
2019-07-12,224
2019-08-12,188
2019-09-12,253
2019-10-12,250
2019-11-12,272
2019-12-12,255
2019-13-12,282
2019-14-12,278
2019-15-12,214
2019-16-12,272
2019-17-12,273
2019-18-12,284
2019-19-12,289
2019-20-12,267
2019-21-12,257
2019-22-12,248
2019-23-12,300
