Date,number
2019-01-01,159
2019-02-01,191
2019-03-01,222
2019-04-01,262
2019-05-01,235
2019-06-01,226
2019-07-01,202
2019-08-01,267
2019-09-01,270
2019-10-01,265
2019-11-01,332
2019-12-01,281
2019-13-01,246
2019-14-01,258
2019-15-01,282
2019-16-01,287
2019-17-01,281
2019-18-01,331
2019-19-01,279
2019-20-01,254
2019-21-01,279
2019-22-01,291
2019-23-01,292
2019-24-01,299
2019-25-01,315
2019-26-01,262
2019-27-01,213
2019-28-01,273
2019-29-01,275
2019-30-01,262
2019-31-01,284
2019-01-02,317
2019-02-02,273
2019-03-02,231
2019-04-02,256
2019-05-02,255
2019-06-02,276
2019-07-02,283
2019-08-02,304
2019-09-02,271
2019-10-02,221
2019-11-02,257
2019-12-02,267
2019-13-02,291
2019-14-02,278
2019-15-02,291
2019-16-02,261
2019-17-02,229
2019-18-02,245
2019-19-02,290
2019-20-02,286
2019-21-02,246
2019-22-02,294
2019-23-02,258
2019-24-02,239
2019-25-02,266
2019-26-02,257
2019-27-02,278
2019-28-02,273
2019-01-03,287
2019-02-03,269
2019-03-03,233
2019-04-03,246
2019-05-03,243
2019-06-03,271
2019-07-03,269
2019-08-03,261
2019-09-03,290
2019-10-03,249
2019-11-03,233
2019-12-03,265
2019-13-03,250
2019-14-03,239
2019-15-03,254
2019-16-03,255
2019-17-03,233
2019-18-03,246
2019-19-03,228
2019-20-03,283
2019-21-03,276
2019-22-03,290
2019-23-03,263
2019-24-03,239
2019-25-03,246
2019-26-03,258
2019-27-03,266
2019-28-03,261
2019-29-03,254
2019-30-03,223
2019-31-03,223
2019-01-04,260
2019-02-04,256
2019-03-04,248
2019-04-04,247
2019-05-04,285
2019-06-04,262
2019-07-04,225
2019-08-04,257
2019-09-04,264
2019-10-04,291
2019-11-04,290
2019-12-04,307
2019-13-04,290
2019-14-04,247
2019-15-04,280
2019-16-04,295
2019-17-04,319
2019-18-04,294
2019-19-04,289
2019-20-04,274
2019-21-04,242
2019-22-04,297
2019-23-04,285
2019-24-04,276
2019-25-04,275
2019-26-04,316
2019-27-04,303
2019-28-04,267
2019-29-04,270
2019-30-04,276
2019-01-05,279
2019-02-05,287
2019-03-05,279
2019-04-05,280
2019-05-05,257
2019-06-05,243
2019-07-05,269
2019-08-05,283
2019-09-05,300
2019-10-05,323
2019-11-05,273
2019-12-05,243
2019-13-05,262
2019-14-05,301
2019-15-05,276
2019-16-05,275
2019-17-05,309
2019-18-05,317
2019-19-05,221
2019-20-05,276
2019-21-05,286
2019-22-05,269
2019-23-05,270
2019-24-05,320
2019-25-05,313
2019-26-05,287
2019-27-05,212
2019-28-05,278
2019-29-05,306
2019-30-05,284
2019-31-05,273
2019-01-06,233
2019-02-06,243
2019-03-06,277
2019-04-06,297
2019-05-06,298
2019-06-06,323
2019-07-06,348
2019-08-06,291
2019-09-06,269
2019-10-06,295
2019-11-06,313
2019-12-06,273
2019-13-06,288
2019-14-06,324
2019-15-06,245
2019-16-06,193
2019-17-06,250
2019-18-06,266
2019-19-06,265
2019-20-06,255
2019-21-06,264
2019-22-06,219
2019-23-06,226
2019-24-06,220
2019-25-06,195
2019-26-06,212
2019-27-06,222
2019-28-06,227
2019-29-06,176
2019-30-06,200
2019-01-07,213
2019-02-07,221
2019-03-07,210
2019-04-07,187
2019-05-07,199
2019-06-07,222
2019-07-07,168
2019-08-07,213
2019-09-07,251
2019-10-07,263
2019-11-07,241
2019-12-07,243
2019-13-07,215
2019-14-07,177
2019-15-07,208
2019-16-07,220
2019-17-07,230
2019-18-07,216
2019-19-07,236
2019-20-07,228
2019-21-07,189
2019-22-07,207
2019-23-07,188
2019-24-07,196
2019-25-07,183
2019-26-07,206
2019-27-07,191
2019-28-07,201
2019-29-07,193
2019-30-07,206
2019-31-07,226
2019-01-08,209
2019-02-08,205
2019-03-08,178
2019-04-08,164
2019-05-08,196
2019-06-08,193
2019-07-08,204
2019-08-08,230
2019-09-08,214
2019-10-08,204
2019-11-08,188
2019-12-08,189
2019-13-08,203
2019-14-08,208
2019-15-08,234
2019-16-08,237
2019-17-08,205
2019-18-08,171
2019-19-08,230
2019-20-08,214
2019-21-08,216
2019-22-08,212
2019-23-08,245
2019-24-08,216
2019-25-08,189
2019-26-08,208
2019-27-08,223
2019-28-08,239
2019-29-08,250
2019-30-08,240
2019-31-08,198
2019-01-09,153
2019-02-09,128
2019-03-09,184
2019-04-09,208
2019-05-09,209
2019-06-09,229
2019-07-09,238
2019-08-09,197
2019-09-09,193
2019-10-09,226
2019-11-09,215
2019-12-09,224
2019-13-09,281
2019-14-09,228
2019-15-09,188
2019-16-09,228
2019-17-09,233
2019-18-09,229
2019-19-09,232
2019-20-09,224
2019-21-09,183
2019-22-09,189
2019-23-09,215
2019-24-09,243
2019-25-09,234
2019-26-09,223
2019-27-09,217
2019-28-09,222
2019-29-09,176
2019-30-09,187
2019-01-10,241
2019-02-10,253
2019-03-10,215
2019-04-10,247
2019-05-10,213
2019-06-10,174
2019-07-10,226
2019-08-10,236
2019-09-10,214
2019-10-10,213
2019-11-10,232
2019-12-10,234
2019-13-10,179
2019-14-10,196
2019-15-10,204
2019-16-10,208
2019-17-10,216
2019-18-10,252
2019-19-10,234
2019-20-10,196
2019-21-10,202
2019-22-10,199
2019-23-10,235
2019-24-10,224
2019-25-10,238
2019-26-10,225
2019-27-10,193
2019-28-10,210
2019-29-10,226
2019-30-10,228
2019-31-10,227
2019-01-11,251
2019-02-11,221
2019-03-11,190
2019-04-11,213
2019-05-11,213
2019-06-11,225
2019-07-11,233
2019-08-11,236
2019-09-11,223
2019-10-11,204
2019-11-11,204
2019-12-11,227
2019-13-11,241
2019-14-11,250
2019-15-11,259
2019-16-11,236
2019-17-11,200
2019-18-11,227
2019-19-11,232
2019-20-11,255
2019-21-11,232
2019-22-11,235
2019-23-11,228
2019-24-11,203
2019-25-11,217
2019-26-11,220
2019-27-11,240
2019-28-11,152
2019-29-11,181
2019-30-11,195
2019-01-12,173
2019-02-12,222
2019-03-12,214
2019-04-12,252
2019-05-12,213
2019-06-12,219
2019-07-12,184
2019-08-12,209
2019-09-12,209
2019-10-12,226
2019-11-12,233
2019-12-12,226
2019-13-12,238
2019-14-12,234
2019-15-12,218
2019-16-12,246
2019-17-12,235
2019-18-12,247
2019-19-12,244
2019-20-12,231
2019-21-12,225
2019-22-12,225
2019-23-12,255
