Date,number
2019-01-01,46
2019-02-01,58
2019-03-01,57
2019-04-01,60
2019-05-01,51
2019-06-01,55
2019-07-01,49
2019-08-01,52
2019-09-01,61
2019-10-01,59
2019-11-01,60
2019-12-01,38
2019-13-01,57
2019-14-01,54
2019-15-01,64
2019-16-01,65
2019-17-01,67
2019-18-01,73
2019-19-01,63
2019-20-01,51
2019-21-01,52
2019-22-01,55
2019-23-01,54
2019-24-01,56
2019-25-01,51
2019-26-01,60
2019-27-01,42
2019-28-01,44
2019-29-01,59
2019-30-01,44
2019-31-01,50
2019-01-02,60
2019-02-02,57
2019-03-02,57
2019-04-02,55
2019-05-02,55
2019-06-02,55
2019-07-02,54
2019-08-02,51
2019-09-02,47
2019-10-02,39
2019-11-02,50
2019-12-02,58
2019-13-02,53
2019-14-02,51
2019-15-02,60
2019-16-02,52
2019-17-02,56
2019-18-02,54
2019-19-02,47
2019-20-02,53
2019-21-02,56
2019-22-02,58
2019-23-02,53
2019-24-02,49
2019-25-02,59
2019-26-02,63
2019-27-02,63
2019-28-02,76
2019-01-03,54
2019-02-03,56
2019-03-03,55
2019-04-03,69
2019-05-03,69
2019-06-03,59
2019-07-03,66
2019-08-03,67
2019-09-03,66
2019-10-03,65
2019-11-03,72
2019-12-03,70
2019-13-03,56
2019-14-03,80
2019-15-03,74
2019-16-03,88
2019-17-03,75
2019-18-03,82
2019-19-03,71
2019-20-03,90
2019-21-03,90
2019-22-03,93
2019-23-03,70
2019-24-03,69
2019-25-03,74
2019-26-03,78
2019-27-03,69
2019-28-03,82
2019-29-03,96
2019-30-03,91
2019-31-03,85
2019-01-04,86
2019-02-04,76
2019-03-04,89
2019-04-04,76
2019-05-04,79
2019-06-04,77
2019-07-04,65
2019-08-04,86
2019-09-04,85
2019-10-04,79
2019-11-04,87
2019-12-04,81
2019-13-04,66
2019-14-04,62
2019-15-04,85
2019-16-04,79
2019-17-04,90
2019-18-04,88
2019-19-04,93
2019-20-04,80
2019-21-04,69
2019-22-04,75
2019-23-04,86
2019-24-04,75
2019-25-04,92
2019-26-04,88
2019-27-04,74
2019-28-04,67
2019-29-04,74
2019-30-04,79
2019-01-05,87
2019-02-05,90
2019-03-05,83
2019-04-05,86
2019-05-05,78
2019-06-05,67
2019-07-05,81
2019-08-05,84
2019-09-05,84
2019-10-05,83
2019-11-05,86
2019-12-05,76
2019-13-05,78
2019-14-05,73
2019-15-05,88
2019-16-05,67
2019-17-05,83
2019-18-05,66
2019-19-05,63
2019-20-05,60
2019-21-05,89
2019-22-05,93
2019-23-05,76
2019-24-05,87
2019-25-05,70
2019-26-05,68
2019-27-05,86
2019-28-05,95
2019-29-05,78
2019-30-05,94
2019-31-05,103
2019-01-06,79
2019-02-06,72
2019-03-06,79
2019-04-06,88
2019-05-06,89
2019-06-06,79
2019-07-06,101
2019-08-06,85
2019-09-06,65
2019-10-06,75
2019-11-06,70
2019-12-06,88
2019-13-06,82
2019-14-06,99
2019-15-06,92
2019-16-06,58
2019-17-06,81
2019-18-06,89
2019-19-06,85
2019-20-06,79
2019-21-06,88
2019-22-06,68
2019-23-06,71
2019-24-06,84
2019-25-06,77
2019-26-06,62
2019-27-06,64
2019-28-06,76
2019-29-06,65
2019-30-06,58
2019-01-07,60
2019-02-07,71
2019-03-07,66
2019-04-07,59
2019-05-07,66
2019-06-07,78
2019-07-07,52
2019-08-07,82
2019-09-07,71
2019-10-07,71
2019-11-07,83
2019-12-07,88
2019-13-07,75
2019-14-07,70
2019-15-07,79
2019-16-07,99
2019-17-07,67
2019-18-07,80
2019-19-07,79
2019-20-07,66
2019-21-07,52
2019-22-07,52
2019-23-07,83
2019-24-07,76
2019-25-07,80
2019-26-07,81
2019-27-07,70
2019-28-07,56
2019-29-07,79
2019-30-07,76
2019-31-07,82
2019-01-08,86
2019-02-08,95
2019-03-08,80
2019-04-08,67
2019-05-08,93
2019-06-08,79
2019-07-08,74
2019-08-08,98
2019-09-08,115
2019-10-08,81
2019-11-08,72
2019-12-08,82
2019-13-08,90
2019-14-08,95
2019-15-08,99
2019-16-08,115
2019-17-08,109
2019-18-08,89
2019-19-08,126
2019-20-08,105
2019-21-08,118
2019-22-08,94
2019-23-08,122
2019-24-08,84
2019-25-08,94
2019-26-08,108
2019-27-08,108
2019-28-08,104
2019-29-08,107
2019-30-08,128
2019-31-08,98
2019-01-09,93
2019-02-09,105
2019-03-09,125
2019-04-09,118
2019-05-09,116
2019-06-09,126
2019-07-09,118
2019-08-09,80
2019-09-09,121
2019-10-09,111
2019-11-09,101
2019-12-09,114
2019-13-09,128
2019-14-09,129
2019-15-09,97
2019-16-09,115
2019-17-09,124
2019-18-09,121
2019-19-09,128
2019-20-09,123
2019-21-09,103
2019-22-09,95
2019-23-09,115
2019-24-09,127
2019-25-09,144
2019-26-09,120
2019-27-09,104
2019-28-09,94
2019-29-09,91
2019-30-09,94
2019-01-10,114
2019-02-10,103
2019-03-10,104
2019-04-10,92
2019-05-10,94
2019-06-10,79
2019-07-10,94
2019-08-10,101
2019-09-10,88
2019-10-10,98
2019-11-10,98
2019-12-10,87
2019-13-10,60
2019-14-10,94
2019-15-10,102
2019-16-10,89
2019-17-10,99
2019-18-10,93
2019-19-10,86
2019-20-10,69
2019-21-10,96
2019-22-10,92
2019-23-10,90
2019-24-10,97
2019-25-10,93
2019-26-10,90
2019-27-10,76
2019-28-10,85
2019-29-10,87
2019-30-10,93
2019-31-10,84
2019-01-11,104
2019-02-11,95
2019-03-11,89
2019-04-11,87
2019-05-11,94
2019-06-11,96
2019-07-11,94
2019-08-11,75
2019-09-11,82
2019-10-11,74
2019-11-11,91
2019-12-11,92
2019-13-11,127
2019-14-11,112
2019-15-11,99
2019-16-11,125
2019-17-11,90
2019-18-11,98
2019-19-11,94
2019-20-11,106
2019-21-11,99
2019-22-11,112
2019-23-11,92
2019-24-11,97
2019-25-11,119
2019-26-11,106
2019-27-11,114
2019-28-11,86
2019-29-11,122
2019-30-11,115
2019-01-12,81
2019-02-12,119
2019-03-12,112
2019-04-12,114
2019-05-12,106
2019-06-12,139
2019-07-12,101
2019-08-12,86
2019-09-12,112
2019-10-12,104
2019-11-12,112
2019-12-12,114
2019-13-12,112
2019-14-12,107
2019-15-12,91
2019-16-12,131
2019-17-12,110
2019-18-12,132
2019-19-12,125
2019-20-12,133
2019-21-12,110
2019-22-12,101
2019-23-12,106
