Date,number
2019-01-01,116
2019-02-01,124
2019-03-01,135
2019-04-01,161
2019-05-01,140
2019-06-01,118
2019-07-01,132
2019-08-01,163
2019-09-01,153
2019-10-01,167
2019-11-01,161
2019-12-01,172
2019-13-01,126
2019-14-01,151
2019-15-01,169
2019-16-01,166
2019-17-01,169
2019-18-01,189
2019-19-01,122
2019-20-01,94
2019-21-01,140
2019-22-01,152
2019-23-01,162
2019-24-01,140
2019-25-01,160
2019-26-01,175
2019-27-01,133
2019-28-01,188
2019-29-01,160
2019-30-01,123
2019-31-01,146
2019-01-02,153
2019-02-02,151
2019-03-02,126
2019-04-02,165
2019-05-02,177
2019-06-02,153
2019-07-02,182
2019-08-02,161
2019-09-02,134
2019-10-02,123
2019-11-02,168
2019-12-02,167
2019-13-02,158
2019-14-02,149
2019-15-02,151
2019-16-02,135
2019-17-02,146
2019-18-02,149
2019-19-02,186
2019-20-02,179
2019-21-02,172
2019-22-02,207
2019-23-02,175
2019-24-02,158
2019-25-02,184
2019-26-02,197
2019-27-02,186
2019-28-02,183
2019-01-03,185
2019-02-03,151
2019-03-03,142
2019-04-03,170
2019-05-03,164
2019-06-03,172
2019-07-03,143
2019-08-03,182
2019-09-03,151
2019-10-03,134
2019-11-03,179
2019-12-03,179
2019-13-03,173
2019-14-03,180
2019-15-03,203
2019-16-03,183
2019-17-03,148
2019-18-03,175
2019-19-03,164
2019-20-03,177
2019-21-03,167
2019-22-03,179
2019-23-03,161
2019-24-03,142
2019-25-03,173
2019-26-03,162
2019-27-03,176
2019-28-03,174
2019-29-03,182
2019-30-03,158
2019-31-03,145
2019-01-04,159
2019-02-04,168
2019-03-04,173
2019-04-04,182
2019-05-04,193
2019-06-04,180
2019-07-04,167
2019-08-04,180
2019-09-04,174
2019-10-04,180
2019-11-04,183
2019-12-04,188
2019-13-04,192
2019-14-04,160
2019-15-04,186
2019-16-04,187
2019-17-04,175
2019-18-04,194
2019-19-04,176
2019-20-04,167
2019-21-04,146
2019-22-04,185
2019-23-04,190
2019-24-04,202
2019-25-04,198
2019-26-04,223
2019-27-04,194
2019-28-04,158
2019-29-04,188
2019-30-04,181
2019-01-05,225
2019-02-05,253
2019-03-05,218
2019-04-05,189
2019-05-05,176
2019-06-05,179
2019-07-05,212
2019-08-05,206
2019-09-05,209
2019-10-05,227
2019-11-05,209
2019-12-05,170
2019-13-05,199
2019-14-05,192
2019-15-05,208
2019-16-05,213
2019-17-05,228
2019-18-05,205
2019-19-05,157
2019-20-05,183
2019-21-05,177
2019-22-05,183
2019-23-05,198
2019-24-05,222
2019-25-05,218
2019-26-05,180
2019-27-05,163
2019-28-05,203
2019-29-05,193
2019-30-05,201
2019-31-05,207
2019-01-06,216
2019-02-06,198
2019-03-06,214
2019-04-06,223
2019-05-06,239
2019-06-06,194
2019-07-06,202
2019-08-06,188
2019-09-06,185
2019-10-06,212
2019-11-06,232
2019-12-06,194
2019-13-06,210
2019-14-06,203
2019-15-06,189
2019-16-06,191
2019-17-06,192
2019-18-06,199
2019-19-06,229
2019-20-06,210
2019-21-06,207
2019-22-06,186
2019-23-06,181
2019-24-06,163
2019-25-06,165
2019-26-06,156
2019-27-06,175
2019-28-06,174
2019-29-06,163
2019-30-06,147
2019-01-07,172
2019-02-07,191
2019-03-07,164
2019-04-07,157
2019-05-07,169
2019-06-07,167
2019-07-07,157
2019-08-07,144
2019-09-07,136
2019-10-07,134
2019-11-07,152
2019-12-07,133
2019-13-07,157
2019-14-07,177
2019-15-07,181
2019-16-07,212
2019-17-07,175
2019-18-07,187
2019-19-07,192
2019-20-07,155
2019-21-07,170
2019-22-07,164
2019-23-07,165
2019-24-07,164
2019-25-07,151
2019-26-07,170
2019-27-07,141
2019-28-07,155
2019-29-07,169
2019-30-07,162
2019-31-07,173
2019-01-08,148
2019-02-08,162
2019-03-08,140
2019-04-08,137
2019-05-08,138
2019-06-08,159
2019-07-08,162
2019-08-08,181
2019-09-08,169
2019-10-08,175
2019-11-08,143
2019-12-08,179
2019-13-08,177
2019-14-08,162
2019-15-08,169
2019-16-08,200
2019-17-08,184
2019-18-08,185
2019-19-08,173
2019-20-08,168
2019-21-08,144
2019-22-08,164
2019-23-08,165
2019-24-08,178
2019-25-08,158
2019-26-08,187
2019-27-08,182
2019-28-08,171
2019-29-08,165
2019-30-08,174
2019-31-08,157
2019-01-09,169
2019-02-09,148
2019-03-09,199
2019-04-09,179
2019-05-09,179
2019-06-09,208
2019-07-09,189
2019-08-09,156
2019-09-09,190
2019-10-09,182
2019-11-09,197
2019-12-09,180
2019-13-09,225
2019-14-09,199
2019-15-09,173
2019-16-09,188
2019-17-09,161
2019-18-09,172
2019-19-09,186
2019-20-09,210
2019-21-09,181
2019-22-09,159
2019-23-09,203
2019-24-09,179
2019-25-09,177
2019-26-09,166
2019-27-09,192
2019-28-09,192
2019-29-09,165
2019-30-09,156
2019-01-10,188
2019-02-10,191
2019-03-10,175
2019-04-10,188
2019-05-10,182
2019-06-10,142
2019-07-10,182
2019-08-10,163
2019-09-10,150
2019-10-10,155
2019-11-10,171
2019-12-10,168
2019-13-10,127
2019-14-10,173
2019-15-10,166
2019-16-10,155
2019-17-10,157
2019-18-10,162
2019-19-10,160
2019-20-10,152
2019-21-10,149
2019-22-10,163
2019-23-10,155
2019-24-10,181
2019-25-10,190
2019-26-10,168
2019-27-10,132
2019-28-10,164
2019-29-10,164
2019-30-10,151
2019-31-10,166
2019-01-11,205
2019-02-11,147
2019-03-11,182
2019-04-11,169
2019-05-11,171
2019-06-11,180
2019-07-11,177
2019-08-11,170
2019-09-11,199
2019-10-11,187
2019-11-11,184
2019-12-11,171
2019-13-11,200
2019-14-11,197
2019-15-11,210
2019-16-11,205
