Date,number
2019-01-01,318
2019-02-01,371
2019-03-01,377
2019-04-01,411
2019-05-01,388
2019-06-01,329
2019-07-01,335
2019-08-01,366
2019-09-01,401
2019-10-01,439
2019-11-01,478
2019-12-01,370
2019-13-01,331
2019-14-01,385
2019-15-01,396
2019-16-01,401
2019-17-01,368
2019-18-01,430
2019-19-01,321
2019-20-01,335
2019-21-01,349
2019-22-01,385
2019-23-01,362
2019-24-01,428
2019-25-01,468
2019-26-01,412
2019-27-01,337
2019-28-01,303
2019-29-01,366
2019-30-01,268
2019-31-01,349
2019-01-02,447
2019-02-02,395
2019-03-02,324
2019-04-02,349
2019-05-02,392
2019-06-02,384
2019-07-02,399
2019-08-02,440
2019-09-02,377
2019-10-02,330
2019-11-02,367
2019-12-02,325
2019-13-02,383
2019-14-02,426
2019-15-02,392
2019-16-02,365
2019-17-02,352
2019-18-02,378
2019-19-02,430
2019-20-02,392
2019-21-02,394
2019-22-02,445
2019-23-02,391
2019-24-02,338
2019-25-02,390
2019-26-02,416
2019-27-02,409
2019-28-02,397
2019-01-03,436
2019-02-03,389
2019-03-03,354
2019-04-03,414
2019-05-03,449
2019-06-03,400
2019-07-03,435
2019-08-03,486
2019-09-03,385
2019-10-03,367
2019-11-03,406
2019-12-03,407
2019-13-03,397
2019-14-03,432
2019-15-03,442
2019-16-03,435
2019-17-03,374
2019-18-03,396
2019-19-03,409
2019-20-03,413
2019-21-03,437
2019-22-03,410
2019-23-03,395
2019-24-03,340
2019-25-03,353
2019-26-03,383
2019-27-03,392
2019-28-03,397
2019-29-03,388
2019-30-03,395
2019-31-03,341
2019-01-04,362
2019-02-04,389
2019-03-04,401
2019-04-04,403
2019-05-04,433
2019-06-04,411
2019-07-04,373
2019-08-04,390
2019-09-04,435
2019-10-04,449
2019-11-04,456
2019-12-04,447
2019-13-04,493
2019-14-04,378
2019-15-04,451
2019-16-04,459
2019-17-04,467
2019-18-04,451
2019-19-04,451
2019-20-04,405
2019-21-04,312
2019-22-04,422
2019-23-04,476
2019-24-04,475
2019-25-04,467
2019-26-04,496
2019-27-04,394
2019-28-04,348
2019-29-04,394
2019-30-04,432
2019-01-05,443
2019-02-05,454
2019-03-05,478
2019-04-05,417
2019-05-05,379
2019-06-05,474
2019-07-05,447
2019-08-05,509
2019-09-05,495
2019-10-05,509
2019-11-05,498
2019-12-05,379
2019-13-05,441
2019-14-05,453
2019-15-05,485
2019-16-05,497
2019-17-05,547
2019-18-05,484
2019-19-05,424
2019-20-05,445
2019-21-05,453
2019-22-05,478
2019-23-05,529
2019-24-05,554
2019-25-05,435
2019-26-05,411
2019-27-05,391
2019-28-05,448
2019-29-05,507
2019-30-05,524
2019-31-05,529
2019-01-06,472
2019-02-06,435
2019-03-06,454
2019-04-06,463
2019-05-06,517
2019-06-06,506
2019-07-06,503
2019-08-06,447
2019-09-06,371
2019-10-06,457
2019-11-06,459
2019-12-06,470
2019-13-06,448
2019-14-06,472
2019-15-06,426
2019-16-06,412
2019-17-06,431
2019-18-06,443
2019-19-06,510
2019-20-06,494
2019-21-06,533
2019-22-06,478
2019-23-06,452
2019-24-06,463
2019-25-06,435
2019-26-06,433
2019-27-06,458
2019-28-06,467
2019-29-06,418
2019-30-06,387
2019-01-07,413
2019-02-07,427
2019-03-07,482
2019-04-07,382
2019-05-07,428
2019-06-07,432
2019-07-07,373
2019-08-07,432
2019-09-07,402
2019-10-07,438
2019-11-07,428
2019-12-07,442
2019-13-07,424
2019-14-07,383
2019-15-07,393
2019-16-07,429
2019-17-07,442
2019-18-07,423
2019-19-07,467
2019-20-07,415
2019-21-07,413
2019-22-07,437
2019-23-07,447
2019-24-07,430
2019-25-07,425
2019-26-07,404
2019-27-07,426
2019-28-07,385
2019-29-07,423
2019-30-07,410
2019-31-07,433
2019-01-08,471
2019-02-08,479
2019-03-08,430
2019-04-08,360
2019-05-08,383
2019-06-08,448
2019-07-08,443
2019-08-08,454
2019-09-08,464
2019-10-08,435
2019-11-08,381
2019-12-08,432
2019-13-08,454
2019-14-08,418
2019-15-08,430
2019-16-08,472
2019-17-08,444
2019-18-08,361
2019-19-08,394
2019-20-08,440
2019-21-08,449
2019-22-08,436
2019-23-08,463
2019-24-08,415
2019-25-08,349
2019-26-08,395
2019-27-08,414
2019-28-08,410
2019-29-08,413
2019-30-08,468
2019-31-08,414
2019-01-09,347
2019-02-09,338
2019-03-09,429
2019-04-09,441
2019-05-09,408
2019-06-09,465
2019-07-09,432
2019-08-09,367
2019-09-09,432
2019-10-09,414
2019-11-09,451
2019-12-09,450
2019-13-09,485
2019-14-09,459
2019-15-09,393
2019-16-09,460
2019-17-09,456
2019-18-09,424
2019-19-09,467
2019-20-09,471
2019-21-09,425
2019-22-09,342
2019-23-09,392
2019-24-09,394
2019-25-09,407
2019-26-09,424
2019-27-09,451
2019-28-09,388
2019-29-09,301
2019-30-09,387
2019-01-10,385
2019-02-10,372
2019-03-10,377
2019-04-10,398
2019-05-10,368
2019-06-10,340
2019-07-10,356
2019-08-10,338
2019-09-10,340
2019-10-10,362
2019-11-10,358
2019-12-10,395
2019-13-10,314
2019-14-10,337
2019-15-10,338
2019-16-10,364
2019-17-10,361
2019-18-10,396
2019-19-10,380
2019-20-10,319
2019-21-10,313
2019-22-10,312
2019-23-10,357
2019-24-10,382
2019-25-10,412
2019-26-10,336
2019-27-10,317
2019-28-10,340
2019-29-10,340
2019-30-10,361
2019-31-10,350
2019-01-11,402
2019-02-11,359
2019-03-11,331
2019-04-11,351
2019-05-11,369
2019-06-11,384
2019-07-11,390
2019-08-11,410
2019-09-11,402
2019-10-11,321
2019-11-11,381
2019-12-11,376
2019-13-11,374
2019-14-11,380
2019-15-11,407
2019-16-11,386
2019-17-11,346
2019-18-11,361
2019-19-11,400
2019-20-11,375
2019-21-11,366
2019-22-11,433
2019-23-11,366
2019-24-11,345
2019-25-11,418
2019-26-11,417
2019-27-11,415
2019-28-11,273
2019-29-11,406
2019-30-11,352
2019-01-12,370
2019-02-12,420
2019-03-12,442
2019-04-12,396
2019-05-12,441
2019-06-12,480
2019-07-12,444
2019-08-12,386
2019-09-12,408
2019-10-12,446
2019-11-12,472
2019-12-12,465
2019-13-12,473
2019-14-12,468
2019-15-12,409
2019-16-12,416
2019-17-12,441
2019-18-12,467
2019-19-12,487
2019-20-12,489
2019-21-12,454
2019-22-12,422
2019-23-12,471
