Date,number
2019-01-01,244
2019-02-01,320
2019-03-01,302
2019-04-01,331
2019-05-01,295
2019-06-01,306
2019-07-01,306
2019-08-01,345
2019-09-01,364
2019-10-01,350
2019-11-01,368
2019-12-01,319
2019-13-01,281
2019-14-01,307
2019-15-01,328
2019-16-01,325
2019-17-01,313
2019-18-01,359
2019-19-01,310
2019-20-01,299
2019-21-01,326
2019-22-01,321
2019-23-01,364
2019-24-01,377
2019-25-01,428
2019-26-01,325
2019-27-01,310
2019-28-01,336
2019-29-01,366
2019-30-01,339
2019-31-01,336
2019-01-02,317
2019-02-02,272
2019-03-02,235
2019-04-02,295
2019-05-02,295
2019-06-02,322
2019-07-02,330
2019-08-02,339
2019-09-02,282
2019-10-02,269
2019-11-02,325
2019-12-02,334
2019-13-02,325
2019-14-02,318
2019-15-02,341
2019-16-02,295
2019-17-02,289
2019-18-02,295
2019-19-02,341
2019-20-02,337
2019-21-02,324
2019-22-02,369
2019-23-02,308
2019-24-02,308
2019-25-02,321
2019-26-02,338
2019-27-02,328
2019-28-02,314
2019-01-03,335
2019-02-03,328
2019-03-03,327
2019-04-03,357
2019-05-03,308
2019-06-03,315
2019-07-03,300
2019-08-03,337
2019-09-03,324
2019-10-03,285
2019-11-03,313
2019-12-03,304
2019-13-03,324
2019-14-03,328
2019-15-03,335
2019-16-03,330
2019-17-03,291
2019-18-03,305
2019-19-03,310
2019-20-03,341
2019-21-03,314
2019-22-03,334
2019-23-03,298
2019-24-03,266
2019-25-03,272
2019-26-03,304
2019-27-03,310
2019-28-03,305
2019-29-03,313
2019-30-03,337
2019-31-03,271
2019-01-04,267
2019-02-04,269
2019-03-04,314
2019-04-04,303
2019-05-04,298
2019-06-04,298
2019-07-04,282
2019-08-04,297
2019-09-04,317
2019-10-04,305
2019-11-04,310
2019-12-04,363
2019-13-04,313
2019-14-04,294
2019-15-04,342
2019-16-04,336
2019-17-04,361
2019-18-04,334
2019-19-04,353
2019-20-04,354
2019-21-04,250
2019-22-04,302
2019-23-04,355
2019-24-04,372
2019-25-04,373
2019-26-04,368
2019-27-04,342
2019-28-04,299
2019-29-04,360
2019-30-04,331
