Date,number
2019-01-01,162
2019-02-01,196
2019-03-01,179
2019-04-01,189
2019-05-01,162
2019-06-01,172
2019-07-01,190
2019-08-01,187
2019-09-01,189
2019-10-01,195
2019-11-01,203
2019-12-01,220
2019-13-01,230
2019-14-01,198
2019-15-01,192
2019-16-01,219
2019-17-01,203
2019-18-01,225
2019-19-01,222
2019-20-01,181
2019-21-01,209
2019-22-01,224
2019-23-01,220
2019-24-01,220
2019-25-01,245
2019-26-01,224
2019-27-01,188
2019-28-01,216
2019-29-01,215
2019-30-01,233
2019-31-01,237
2019-01-02,253
2019-02-02,231
2019-03-02,184
2019-04-02,193
2019-05-02,216
2019-06-02,216
2019-07-02,197
2019-08-02,211
2019-09-02,197
2019-10-02,216
2019-11-02,205
2019-12-02,218
2019-13-02,227
2019-14-02,236
2019-15-02,238
2019-16-02,215
2019-17-02,187
2019-18-02,199
2019-19-02,223
2019-20-02,223
2019-21-02,215
2019-22-02,233
2019-23-02,211
2019-24-02,197
2019-25-02,191
2019-26-02,194
2019-27-02,211
2019-28-02,224
2019-01-03,253
2019-02-03,224
2019-03-03,184
2019-04-03,208
2019-05-03,205
2019-06-03,186
2019-07-03,217
2019-08-03,218
2019-09-03,198
2019-10-03,166
2019-11-03,192
2019-12-03,218
2019-13-03,207
2019-14-03,194
2019-15-03,199
2019-16-03,196
2019-17-03,182
2019-18-03,199
2019-19-03,202
2019-20-03,203
2019-21-03,203
2019-22-03,190
2019-23-03,181
2019-24-03,174
2019-25-03,188
2019-26-03,195
2019-27-03,163
2019-28-03,179
2019-29-03,180
2019-30-03,169
2019-31-03,175
2019-01-04,173
2019-02-04,181
2019-03-04,191
2019-04-04,211
2019-05-04,216
2019-06-04,185
2019-07-04,164
2019-08-04,183
2019-09-04,195
2019-10-04,173
2019-11-04,185
2019-12-04,195
2019-13-04,203
2019-14-04,191
2019-15-04,192
2019-16-04,207
2019-17-04,221
2019-18-04,173
2019-19-04,204
2019-20-04,204
2019-21-04,185
2019-22-04,189
2019-23-04,196
2019-24-04,214
2019-25-04,225
2019-26-04,230
2019-27-04,189
2019-28-04,191
2019-29-04,225
2019-30-04,195
2019-01-05,208
2019-02-05,202
