Date,number
2019-01-01,395
2019-02-01,402
2019-03-01,413
2019-04-01,438
2019-05-01,463
2019-06-01,404
2019-07-01,398
2019-08-01,431
2019-09-01,471
2019-10-01,467
2019-11-01,476
2019-12-01,453
2019-13-01,471
2019-14-01,491
2019-15-01,474
2019-16-01,454
2019-17-01,418
2019-18-01,447
2019-19-01,463
2019-20-01,431
2019-21-01,475
2019-22-01,482
2019-23-01,490
2019-24-01,475
2019-25-01,501
2019-26-01,439
2019-27-01,419
2019-28-01,437
2019-29-01,426
2019-30-01,455
2019-31-01,474
2019-01-02,642
2019-02-02,653
2019-03-02,624
2019-04-02,676
2019-05-02,733
2019-06-02,747
2019-07-02,728
2019-08-02,756
2019-09-02,773
2019-10-02,749
2019-11-02,766
2019-12-02,718
2019-13-02,652
2019-14-02,672
2019-15-02,650
2019-16-02,628
2019-17-02,584
2019-18-02,636
2019-19-02,659
2019-20-02,651
2019-21-02,626
2019-22-02,710
2019-23-02,656
2019-24-02,651
2019-25-02,671
2019-26-02,634
2019-27-02,651
2019-28-02,582
2019-01-03,1235
2019-02-03,1186
2019-03-03,1125
2019-04-03,1251
2019-05-03,1248
2019-06-03,1255
2019-07-03,1510
2019-08-03,1605
2019-09-03,1466
2019-10-03,1419
2019-11-03,1572
2019-12-03,1568
2019-13-03,1427
2019-14-03,1378
2019-15-03,1379
2019-16-03,1349
2019-17-03,1289
2019-18-03,1359
2019-19-03,1459
2019-20-03,1593
2019-21-03,1412
2019-22-03,1456
2019-23-03,1292
2019-24-03,1243
2019-25-03,1426
2019-26-03,1314
2019-27-03,1399
2019-28-03,1325
2019-29-03,1448
2019-30-03,1224
2019-31-03,1176
2019-01-04,1116
2019-02-04,1021
2019-03-04,754
2019-04-04,649
2019-05-04,597
2019-06-04,612
2019-07-04,611
2019-08-04,644
2019-09-04,603
2019-10-04,487
2019-11-04,386
2019-12-04,413
2019-13-04,379
2019-14-04,381
2019-15-04,381
2019-16-04,389
2019-17-04,404
2019-18-04,439
2019-19-04,389
2019-20-04,411
2019-21-04,337
2019-22-04,1357
2019-23-04,2204
2019-24-04,2401
2019-25-04,2338
2019-26-04,2279
2019-27-04,2055
2019-28-04,1968
2019-29-04,2021
2019-30-04,1787
2019-01-05,1982
2019-02-05,1422
2019-03-05,993
2019-04-05,905
2019-05-05,780
2019-06-05,862
2019-07-05,795
2019-08-05,803
2019-09-05,835
2019-10-05,885
2019-11-05,794
2019-12-05,757
2019-13-05,791
2019-14-05,866
2019-15-05,927
2019-16-05,972
2019-17-05,985
2019-18-05,930
2019-19-05,757
2019-20-05,897
2019-21-05,931
2019-22-05,966
2019-23-05,857
2019-24-05,851
2019-25-05,821
2019-26-05,690
2019-27-05,692
2019-28-05,756
2019-29-05,811
2019-30-05,888
2019-31-05,937
2019-01-06,956
2019-02-06,984
2019-03-06,802
2019-04-06,897
2019-05-06,880
2019-06-06,838
2019-07-06,894
2019-08-06,840
2019-09-06,738
2019-10-06,806
2019-11-06,872
2019-12-06,956
2019-13-06,965
2019-14-06,1087
2019-15-06,1112
2019-16-06,950
2019-17-06,953
2019-18-06,984
2019-19-06,1067
2019-20-06,1031
2019-21-06,1019
2019-22-06,1048
2019-23-06,996
2019-24-06,956
2019-25-06,915
2019-26-06,1084
2019-27-06,1092
2019-28-06,1029
2019-29-06,927
2019-30-06,927
2019-01-07,945
2019-02-07,1066
2019-03-07,1062
2019-04-07,854
2019-05-07,923
2019-06-07,950
2019-07-07,833
2019-08-07,843
2019-09-07,809
2019-10-07,815
2019-11-07,842
2019-12-07,762
2019-13-07,737
2019-14-07,678
2019-15-07,630
2019-16-07,847
2019-17-07,764
2019-18-07,560
2019-19-07,599
2019-20-07,650
2019-21-07,600
2019-22-07,537
2019-23-07,604
2019-24-07,586
2019-25-07,535
2019-26-07,508
2019-27-07,502
2019-28-07,436
2019-29-07,410
2019-30-07,422
2019-31-07,480
2019-01-08,669
2019-02-08,707
2019-03-08,718
2019-04-08,681
2019-05-08,684
2019-06-08,719
2019-07-08,473
2019-08-08,945
2019-09-08,2032
2019-10-08,1806
2019-11-08,1942
2019-12-08,2111
2019-13-08,1844
2019-14-08,2306
2019-15-08,2680
2019-16-08,3035
2019-17-08,2857
2019-18-08,2711
2019-19-08,2794
2019-20-08,2839
2019-21-08,2726
2019-22-08,2640
2019-23-08,2407
2019-24-08,2456
2019-25-08,2430
2019-26-08,2707
2019-27-08,2563
2019-28-08,2701
2019-29-08,2314
2019-30-08,2101
2019-31-08,2018
2019-01-09,2322
2019-02-09,2784
2019-03-09,3157
2019-04-09,3062
2019-05-09,3007
2019-06-09,2868
2019-07-09,2867
2019-08-09,2750
2019-09-09,3026
2019-10-09,2923
2019-11-09,3165
