Date,number
2019-01-01,154
2019-02-01,172
2019-03-01,196
2019-04-01,216
2019-05-01,197
2019-06-01,168
2019-07-01,175
2019-08-01,210
2019-09-01,211
2019-10-01,207
2019-11-01,204
2019-12-01,202
2019-13-01,193
2019-14-01,173
2019-15-01,176
2019-16-01,207
2019-17-01,194
2019-18-01,185
2019-19-01,190
2019-20-01,186
2019-21-01,196
2019-22-01,200
2019-23-01,193
2019-24-01,202
2019-25-01,225
2019-26-01,204
2019-27-01,165
2019-28-01,176
2019-29-01,161
2019-30-01,140
2019-31-01,163
2019-01-02,184
2019-02-02,205
2019-03-02,180
2019-04-02,200
2019-05-02,170
2019-06-02,204
2019-07-02,180
2019-08-02,200
2019-09-02,194
2019-10-02,171
2019-11-02,184
2019-12-02,184
2019-13-02,224
2019-14-02,217
2019-15-02,214
2019-16-02,202
2019-17-02,188
2019-18-02,207
2019-19-02,214
2019-20-02,150
2019-21-02,205
2019-22-02,216
2019-23-02,210
2019-24-02,188
2019-25-02,215
2019-26-02,196
2019-27-02,216
2019-28-02,205
2019-01-03,215
2019-02-03,218
2019-03-03,202
2019-04-03,189
2019-05-03,200
2019-06-03,196
2019-07-03,218
2019-08-03,241
2019-09-03,182
2019-10-03,174
2019-11-03,178
2019-12-03,203
2019-13-03,205
2019-14-03,187
2019-15-03,230
2019-16-03,193
2019-17-03,178
2019-18-03,211
2019-19-03,183
2019-20-03,202
2019-21-03,208
2019-22-03,226
2019-23-03,207
2019-24-03,182
2019-25-03,179
2019-26-03,233
2019-27-03,222
2019-28-03,222
2019-29-03,229
2019-30-03,209
2019-31-03,214
2019-01-04,221
2019-02-04,212
2019-03-04,223
2019-04-04,222
2019-05-04,247
2019-06-04,209
2019-07-04,207
2019-08-04,225
2019-09-04,229
2019-10-04,224
2019-11-04,153
2019-12-04,266
2019-13-04,253
2019-14-04,237
2019-15-04,229
2019-16-04,220
2019-17-04,233
2019-18-04,213
2019-19-04,243
2019-20-04,266
2019-21-04,221
2019-22-04,229
2019-23-04,238
2019-24-04,258
2019-25-04,261
2019-26-04,275
2019-27-04,262
2019-28-04,230
2019-29-04,251
2019-30-04,241
2019-01-05,226
2019-02-05,245
2019-03-05,273
2019-04-05,254
2019-05-05,246
2019-06-05,272
2019-07-05,237
2019-08-05,258
2019-09-05,271
2019-10-05,327
2019-11-05,314
2019-12-05,269
2019-13-05,282
2019-14-05,253
2019-15-05,245
2019-16-05,269
2019-17-05,302
2019-18-05,249
2019-19-05,243
2019-20-05,241
2019-21-05,247
2019-22-05,236
2019-23-05,252
2019-24-05,240
2019-25-05,262
2019-26-05,243
2019-27-05,221
2019-28-05,220
2019-29-05,246
2019-30-05,253
2019-31-05,288
2019-01-06,254
2019-02-06,239
2019-03-06,248
2019-04-06,255
2019-05-06,266
2019-06-06,280
2019-07-06,292
2019-08-06,261
2019-09-06,243
2019-10-06,226
2019-11-06,218
2019-12-06,231
2019-13-06,224
2019-14-06,236
2019-15-06,255
2019-16-06,259
2019-17-06,264
2019-18-06,257
2019-19-06,267
2019-20-06,271
2019-21-06,290
2019-22-06,268
2019-23-06,230
2019-24-06,230
2019-25-06,227
2019-26-06,221
2019-27-06,267
2019-28-06,269
2019-29-06,255
2019-30-06,230
2019-01-07,223
2019-02-07,234
2019-03-07,258
2019-04-07,241
2019-05-07,255
2019-06-07,258
2019-07-07,234
2019-08-07,238
2019-09-07,256
2019-10-07,231
2019-11-07,248
2019-12-07,275
2019-13-07,255
2019-14-07,241
2019-15-07,212
2019-16-07,223
2019-17-07,251
2019-18-07,241
2019-19-07,305
2019-20-07,209
2019-21-07,259
2019-22-07,240
2019-23-07,242
2019-24-07,244
2019-25-07,231
2019-26-07,240
2019-27-07,226
2019-28-07,226
2019-29-07,228
2019-30-07,245
