Date,number
2019-01-01,170
2019-02-01,220
2019-03-01,241
2019-04-01,247
2019-05-01,233
2019-06-01,223
2019-07-01,248
2019-08-01,259
2019-09-01,298
2019-10-01,276
2019-11-01,294
2019-12-01,272
2019-13-01,251
2019-14-01,275
2019-15-01,272
2019-16-01,243
2019-17-01,246
2019-18-01,262
2019-19-01,237
2019-20-01,193
2019-21-01,231
2019-22-01,240
2019-23-01,235
2019-24-01,229
2019-25-01,257
2019-26-01,227
2019-27-01,217
2019-28-01,237
2019-29-01,222
2019-30-01,228
2019-31-01,221
2019-01-02,247
2019-02-02,223
2019-03-02,200
2019-04-02,243
2019-05-02,234
2019-06-02,248
2019-07-02,226
2019-08-02,225
2019-09-02,206
2019-10-02,200
2019-11-02,249
2019-12-02,226
2019-13-02,234
2019-14-02,249
2019-15-02,244
2019-16-02,221
2019-17-02,223
2019-18-02,213
2019-19-02,232
2019-20-02,218
2019-21-02,212
2019-22-02,263
2019-23-02,230
2019-24-02,207
2019-25-02,226
2019-26-02,234
2019-27-02,231
2019-28-02,232
2019-01-03,235
2019-02-03,221
2019-03-03,211
2019-04-03,244
2019-05-03,248
2019-06-03,271
2019-07-03,251
2019-08-03,275
2019-09-03,244
2019-10-03,231
2019-11-03,266
2019-12-03,271
2019-13-03,266
2019-14-03,258
2019-15-03,285
2019-16-03,246
2019-17-03,229
2019-18-03,265
2019-19-03,251
2019-20-03,250
2019-21-03,283
2019-22-03,239
2019-23-03,229
2019-24-03,227
2019-25-03,243
2019-26-03,215
2019-27-03,231
2019-28-03,242
2019-29-03,269
2019-30-03,224
2019-31-03,202
2019-01-04,215
2019-02-04,220
2019-03-04,217
2019-04-04,242
2019-05-04,243
2019-06-04,223
2019-07-04,223
2019-08-04,212
2019-09-04,227
2019-10-04,236
2019-11-04,241
2019-12-04,260
2019-13-04,260
2019-14-04,227
2019-15-04,256
2019-16-04,225
2019-17-04,232
2019-18-04,245
2019-19-04,260
2019-20-04,217
2019-21-04,224
2019-22-04,232
2019-23-04,234
2019-24-04,220
2019-25-04,217
2019-26-04,221
2019-27-04,203
2019-28-04,196
2019-29-04,223
2019-30-04,213
2019-01-05,242
2019-02-05,246
2019-03-05,246
2019-04-05,217
2019-05-05,176
2019-06-05,211
2019-07-05,246
2019-08-05,251
2019-09-05,242
2019-10-05,261
2019-11-05,213
2019-12-05,198
2019-13-05,210
2019-14-05,209
2019-15-05,235
2019-16-05,253
2019-17-05,242
2019-18-05,267
2019-19-05,201
2019-20-05,224
2019-21-05,235
2019-22-05,232
2019-23-05,217
2019-24-05,241
2019-25-05,235
2019-26-05,183
2019-27-05,195
2019-28-05,194
2019-29-05,227
2019-30-05,227
