Date,number
2019-01-01,422
2019-02-01,443
2019-03-01,418
2019-04-01,421
2019-05-01,415
2019-06-01,374
2019-07-01,384
2019-08-01,431
2019-09-01,432
2019-10-01,460
2019-11-01,469
2019-12-01,454
2019-13-01,441
2019-14-01,442
2019-15-01,447
2019-16-01,465
2019-17-01,513
2019-18-01,473
2019-19-01,404
2019-20-01,395
2019-21-01,390
2019-22-01,430
2019-23-01,439
2019-24-01,432
2019-25-01,455
2019-26-01,418
2019-27-01,407
2019-28-01,389
2019-29-01,413
2019-30-01,319
2019-31-01,339
2019-01-02,413
2019-02-02,410
2019-03-02,462
2019-04-02,546
2019-05-02,494
2019-06-02,506
2019-07-02,590
2019-08-02,580
2019-09-02,563
2019-10-02,568
2019-11-02,560
2019-12-02,582
2019-13-02,596
2019-14-02,539
2019-15-02,605
2019-16-02,568
2019-17-02,486
2019-18-02,600
2019-19-02,590
2019-20-02,602
2019-21-02,551
2019-22-02,594
2019-23-02,618
2019-24-02,614
2019-25-02,605
2019-26-02,582
2019-27-02,619
2019-28-02,585
2019-01-03,699
2019-02-03,669
2019-03-03,612
2019-04-03,683
2019-05-03,597
2019-06-03,474
2019-07-03,565
2019-08-03,705
2019-09-03,662
2019-10-03,626
2019-11-03,654
2019-12-03,635
2019-13-03,638
2019-14-03,594
2019-15-03,616
2019-16-03,649
2019-17-03,614
2019-18-03,613
2019-19-03,596
2019-20-03,608
2019-21-03,619
2019-22-03,636
2019-23-03,610
2019-24-03,533
2019-25-03,565
2019-26-03,582
2019-27-03,580
2019-28-03,601
2019-29-03,620
2019-30-03,577
2019-31-03,602
2019-01-04,609
2019-02-04,617
2019-03-04,547
2019-04-04,525
2019-05-04,532
2019-06-04,561
2019-07-04,507
2019-08-04,504
2019-09-04,520
2019-10-04,435
2019-11-04,399
2019-12-04,431
2019-13-04,426
2019-14-04,323
2019-15-04,382
2019-16-04,419
2019-17-04,406
2019-18-04,403
2019-19-04,406
2019-20-04,415
2019-21-04,335
2019-22-04,766
2019-23-04,981
2019-24-04,1004
2019-25-04,1036
2019-26-04,1010
2019-27-04,998
2019-28-04,972
2019-29-04,933
2019-30-04,784
2019-01-05,1226
2019-02-05,913
2019-03-05,747
2019-04-05,775
2019-05-05,697
2019-06-05,693
2019-07-05,617
2019-08-05,803
2019-09-05,706
2019-10-05,716
2019-11-05,850
2019-12-05,893
2019-13-05,911
2019-14-05,928
2019-15-05,841
2019-16-05,899
2019-17-05,882
2019-18-05,875
2019-19-05,678
2019-20-05,668
2019-21-05,638
2019-22-05,655
2019-23-05,648
2019-24-05,740
2019-25-05,739
2019-26-05,681
2019-27-05,621
2019-28-05,668
2019-29-05,709
2019-30-05,708
2019-31-05,709
2019-01-06,837
2019-02-06,833
2019-03-06,746
2019-04-06,770
2019-05-06,731
2019-06-06,778
2019-07-06,789
2019-08-06,813
2019-09-06,704
2019-10-06,693
2019-11-06,812
2019-12-06,880
2019-13-06,814
2019-14-06,860
2019-15-06,852
2019-16-06,764
2019-17-06,785
2019-18-06,837
2019-19-06,810
2019-20-06,727
2019-21-06,726
2019-22-06,742
2019-23-06,742
2019-24-06,680
2019-25-06,674
2019-26-06,688
2019-27-06,642
2019-28-06,676
2019-29-06,614
2019-30-06,615
2019-01-07,633
2019-02-07,665
2019-03-07,711
2019-04-07,623
