Date,number
2019-01-01,41
2019-02-01,32
2019-03-01,39
2019-04-01,45
2019-05-01,46
2019-06-01,33
2019-07-01,40
2019-08-01,42
2019-09-01,39
2019-10-01,54
2019-11-01,53
2019-12-01,39
2019-13-01,38
2019-14-01,40
2019-15-01,32
2019-16-01,36
2019-17-01,35
2019-18-01,24
2019-19-01,32
2019-20-01,30
2019-21-01,36
2019-22-01,33
2019-23-01,38
2019-24-01,53
2019-25-01,46
2019-26-01,40
2019-27-01,34
2019-28-01,46
2019-29-01,43
2019-30-01,40
2019-31-01,53
2019-01-02,60
2019-02-02,49
2019-03-02,43
2019-04-02,45
2019-05-02,45
2019-06-02,48
2019-07-02,56
2019-08-02,44
2019-09-02,35
2019-10-02,52
2019-11-02,46
2019-12-02,40
2019-13-02,56
2019-14-02,55
2019-15-02,45
2019-16-02,42
2019-17-02,42
2019-18-02,40
2019-19-02,38
2019-20-02,37
2019-21-02,46
2019-22-02,56
2019-23-02,48
2019-24-02,54
2019-25-02,47
2019-26-02,48
2019-27-02,45
2019-28-02,45
2019-01-03,50
2019-02-03,35
2019-03-03,29
2019-04-03,29
2019-05-03,31
2019-06-03,35
2019-07-03,22
2019-08-03,38
2019-09-03,26
2019-10-03,31
2019-11-03,40
2019-12-03,34
2019-13-03,40
2019-14-03,49
2019-15-03,40
2019-16-03,32
2019-17-03,34
2019-18-03,38
2019-19-03,36
2019-20-03,33
2019-21-03,42
2019-22-03,33
2019-23-03,34
2019-24-03,39
2019-25-03,36
2019-26-03,37
2019-27-03,48
2019-28-03,41
2019-29-03,44
2019-30-03,32
2019-31-03,30
2019-01-04,36
2019-02-04,41
2019-03-04,39
2019-04-04,44
2019-05-04,40
2019-06-04,29
2019-07-04,37
2019-08-04,31
2019-09-04,32
2019-10-04,43
2019-11-04,34
2019-12-04,37
2019-13-04,30
2019-14-04,38
2019-15-04,36
2019-16-04,35
2019-17-04,45
2019-18-04,42
2019-19-04,25
2019-20-04,21
2019-21-04,23
2019-22-04,35
2019-23-04,43
2019-24-04,45
2019-25-04,48
2019-26-04,57
2019-27-04,47
2019-28-04,46
2019-29-04,36
2019-30-04,50
2019-01-05,43
2019-02-05,41
2019-03-05,46
2019-04-05,38
2019-05-05,29
2019-06-05,42
2019-07-05,48
2019-08-05,35
2019-09-05,37
2019-10-05,43
2019-11-05,35
2019-12-05,34
2019-13-05,38
2019-14-05,36
2019-15-05,39
2019-16-05,44
2019-17-05,39
2019-18-05,45
2019-19-05,34
2019-20-05,42
2019-21-05,39
2019-22-05,36
2019-23-05,35
2019-24-05,35
2019-25-05,30
2019-26-05,32
2019-27-05,35
2019-28-05,49
2019-29-05,35
2019-30-05,42
2019-31-05,43
2019-01-06,31
2019-02-06,35
2019-03-06,36
2019-04-06,31
2019-05-06,37
2019-06-06,47
2019-07-06,50
2019-08-06,35
2019-09-06,29
2019-10-06,41
2019-11-06,36
2019-12-06,31
2019-13-06,30
2019-14-06,39
2019-15-06,33
2019-16-06,25
2019-17-06,27
2019-18-06,33
2019-19-06,36
2019-20-06,34
2019-21-06,36
2019-22-06,31
2019-23-06,30
2019-24-06,36
2019-25-06,35
2019-26-06,31
2019-27-06,36
2019-28-06,33
2019-29-06,39
2019-30-06,35
2019-01-07,44
2019-02-07,41
2019-03-07,47
2019-04-07,41
2019-05-07,25
2019-06-07,31
2019-07-07,30
2019-08-07,31
2019-09-07,33
2019-10-07,30
2019-11-07,43
2019-12-07,33
2019-13-07,36
2019-14-07,28
2019-15-07,32
2019-16-07,35
2019-17-07,34
2019-18-07,32
2019-19-07,30
2019-20-07,31
2019-21-07,14
2019-22-07,27
2019-23-07,21
2019-24-07,25
2019-25-07,25
2019-26-07,26
2019-27-07,28
2019-28-07,19
2019-29-07,38
2019-30-07,33
2019-31-07,25
2019-01-08,30
2019-02-08,33
2019-03-08,34
2019-04-08,38
2019-05-08,36
2019-06-08,23
2019-07-08,28
2019-08-08,36
2019-09-08,28
2019-10-08,25
2019-11-08,22
2019-12-08,23
2019-13-08,21
2019-14-08,26
2019-15-08,29
2019-16-08,29
2019-17-08,34
2019-18-08,24
2019-19-08,32
2019-20-08,28
2019-21-08,36
2019-22-08,41
2019-23-08,33
2019-24-08,29
2019-25-08,33
2019-26-08,29
2019-27-08,47
2019-28-08,34
2019-29-08,47
2019-30-08,38
2019-31-08,37
2019-01-09,38
2019-02-09,40
2019-03-09,44
2019-04-09,56
2019-05-09,57
2019-06-09,58
2019-07-09,36
2019-08-09,41
2019-09-09,46
2019-10-09,46
2019-11-09,49
2019-12-09,38
2019-13-09,46
2019-14-09,44
2019-15-09,38
2019-16-09,42
2019-17-09,43
2019-18-09,42
2019-19-09,44
2019-20-09,48
2019-21-09,36
2019-22-09,40
2019-23-09,50
2019-24-09,48
2019-25-09,58
2019-26-09,68
2019-27-09,70
2019-28-09,54
2019-29-09,49
2019-30-09,48
2019-01-10,55
2019-02-10,36
2019-03-10,16
2019-04-10,23
2019-05-10,22
2019-06-10,18
2019-07-10,22
2019-08-10,20
2019-09-10,22
2019-10-10,12
2019-11-10,19
2019-12-10,13
2019-13-10,13
2019-14-10,14
2019-15-10,24
2019-16-10,24
2019-17-10,21
2019-18-10,24
2019-19-10,25
2019-20-10,13
2019-21-10,21
2019-22-10,19
2019-23-10,15
2019-24-10,19
2019-25-10,18
2019-26-10,21
2019-27-10,19
2019-28-10,15
2019-29-10,12
2019-30-10,9
2019-31-10,14
2019-01-11,17
2019-02-11,11
2019-03-11,20
2019-04-11,14
2019-05-11,11
2019-06-11,12
2019-07-11,19
2019-08-11,27
2019-09-11,17
2019-10-11,20
2019-11-11,15
2019-12-11,13
2019-13-11,22
2019-14-11,14
2019-15-11,16
2019-16-11,17
2019-17-11,13
2019-18-11,18
2019-19-11,16
2019-20-11,19
2019-21-11,21
2019-22-11,13
2019-23-11,20
2019-24-11,20
2019-25-11,12
2019-26-11,19
2019-27-11,12
2019-28-11,12
2019-29-11,12
2019-30-11,13
2019-01-12,16
2019-02-12,16
2019-03-12,15
2019-04-12,19
2019-05-12,17
2019-06-12,9
2019-07-12,11
2019-08-12,11
2019-09-12,10
2019-10-12,9
2019-11-12,13
2019-12-12,16
2019-13-12,14
2019-14-12,14
2019-15-12,19
2019-16-12,31
2019-17-12,23
2019-18-12,13
2019-19-12,9
2019-20-12,14
2019-21-12,13
2019-22-12,25
2019-23-12,38
