Date,number
2019-01-01,721
2019-02-01,916
2019-03-01,924
2019-04-01,928
2019-05-01,937
2019-06-01,845
2019-07-01,852
2019-08-01,971
2019-09-01,1021
2019-10-01,999
2019-11-01,1009
2019-12-01,1013
2019-13-01,949
2019-14-01,949
2019-15-01,967
2019-16-01,969
2019-17-01,1022
2019-18-01,1048
2019-19-01,1034
2019-20-01,883
2019-21-01,982
2019-22-01,955
2019-23-01,947
2019-24-01,1014
2019-25-01,1060
2019-26-01,1035
2019-27-01,896
2019-28-01,918
2019-29-01,839
2019-30-01,753
2019-31-01,891
2019-01-02,1040
2019-02-02,987
2019-03-02,815
2019-04-02,774
2019-05-02,941
2019-06-02,975
2019-07-02,825
2019-08-02,964
2019-09-02,1013
2019-10-02,857
2019-11-02,911
2019-12-02,901
2019-13-02,997
2019-14-02,986
2019-15-02,993
2019-16-02,930
2019-17-02,885
2019-18-02,984
2019-19-02,1078
2019-20-02,759
2019-21-02,1007
2019-22-02,1127
2019-23-02,1039
2019-24-02,798
2019-25-02,958
2019-26-02,958
2019-27-02,959
2019-28-02,951
2019-01-03,988
2019-02-03,967
2019-03-03,819
2019-04-03,963
2019-05-03,964
2019-06-03,1028
2019-07-03,1036
2019-08-03,1068
2019-09-03,881
2019-10-03,781
2019-11-03,996
2019-12-03,970
2019-13-03,1016
2019-14-03,1060
2019-15-03,1152
2019-16-03,1077
2019-17-03,912
2019-18-03,979
2019-19-03,1032
2019-20-03,1045
2019-21-03,1019
2019-22-03,1076
2019-23-03,1050
2019-24-03,876
2019-25-03,1006
2019-26-03,1026
2019-27-03,984
2019-28-03,1066
2019-29-03,1084
2019-30-03,1014
2019-31-03,867
2019-01-04,1010
2019-02-04,1015
2019-03-04,1101
2019-04-04,1127
2019-05-04,1156
2019-06-04,1033
2019-07-04,935
2019-08-04,1046
2019-09-04,1111
2019-10-04,1130
2019-11-04,806
2019-12-04,1162
2019-13-04,1129
2019-14-04,980
2019-15-04,1122
2019-16-04,1106
2019-17-04,1122
2019-18-04,1223
2019-19-04,1203
2019-20-04,1049
2019-21-04,985
2019-22-04,1054
2019-23-04,1150
2019-24-04,1173
2019-25-04,1170
