Date,number
2019-01-01,101
2019-02-01,139
2019-03-01,117
2019-04-01,146
2019-05-01,115
2019-06-01,110
2019-07-01,124
2019-08-01,121
2019-09-01,136
2019-10-01,151
2019-11-01,146
2019-12-01,120
2019-13-01,111
2019-14-01,145
2019-15-01,132
2019-16-01,150
2019-17-01,148
2019-18-01,169
2019-19-01,138
2019-20-01,118
2019-21-01,157
2019-22-01,141
2019-23-01,159
2019-24-01,159
2019-25-01,166
2019-26-01,164
2019-27-01,119
2019-28-01,151
2019-29-01,131
2019-30-01,166
2019-31-01,163
2019-01-02,181
2019-02-02,127
2019-03-02,121
2019-04-02,152
2019-05-02,159
2019-06-02,145
2019-07-02,193
2019-08-02,159
2019-09-02,148
2019-10-02,97
2019-11-02,152
2019-12-02,154
2019-13-02,158
2019-14-02,172
2019-15-02,169
2019-16-02,140
2019-17-02,126
2019-18-02,161
2019-19-02,195
2019-20-02,214
2019-21-02,202
2019-22-02,181
2019-23-02,170
2019-24-02,162
2019-25-02,190
2019-26-02,182
2019-27-02,184
2019-28-02,193
2019-01-03,229
2019-02-03,201
2019-03-03,142
2019-04-03,196
2019-05-03,183
2019-06-03,212
2019-07-03,199
2019-08-03,201
2019-09-03,209
2019-10-03,140
2019-11-03,178
2019-12-03,176
2019-13-03,185
2019-14-03,194
2019-15-03,206
2019-16-03,172
2019-17-03,182
2019-18-03,202
2019-19-03,181
2019-20-03,185
2019-21-03,187
2019-22-03,202
2019-23-03,182
2019-24-03,146
2019-25-03,196
2019-26-03,167
2019-27-03,176
2019-28-03,200
2019-29-03,206
2019-30-03,179
2019-31-03,149
2019-01-04,209
2019-02-04,191
2019-03-04,197
2019-04-04,222
2019-05-04,246
2019-06-04,208
2019-07-04,178
2019-08-04,208
2019-09-04,224
2019-10-04,210
2019-11-04,226
2019-12-04,236
2019-13-04,172
2019-14-04,170
2019-15-04,215
2019-16-04,214
2019-17-04,215
2019-18-04,220
2019-19-04,224
2019-20-04,192
2019-21-04,153
2019-22-04,206
2019-23-04,225
2019-24-04,208
2019-25-04,216
2019-26-04,260
2019-27-04,229
2019-28-04,193
2019-29-04,223
2019-30-04,234
2019-01-05,245
2019-02-05,275
2019-03-05,243
2019-04-05,228
2019-05-05,186
2019-06-05,242
2019-07-05,237
2019-08-05,240
2019-09-05,239
2019-10-05,254
2019-11-05,218
2019-12-05,197
2019-13-05,233
2019-14-05,220
2019-15-05,242
2019-16-05,257
2019-17-05,258
2019-18-05,225
2019-19-05,179
2019-20-05,205
2019-21-05,210
2019-22-05,221
2019-23-05,209
2019-24-05,217
2019-25-05,192
2019-26-05,189
2019-27-05,179
