Date,number
2019-01-01,279
2019-02-01,287
2019-03-01,317
2019-04-01,338
2019-05-01,298
2019-06-01,264
2019-07-01,287
2019-08-01,316
2019-09-01,342
2019-10-01,332
2019-11-01,364
2019-12-01,322
2019-13-01,305
2019-14-01,342
2019-15-01,316
2019-16-01,309
2019-17-01,314
2019-18-01,354
2019-19-01,317
2019-20-01,273
2019-21-01,324
2019-22-01,303
2019-23-01,315
2019-24-01,333
2019-25-01,315
2019-26-01,309
2019-27-01,284
2019-28-01,316
2019-29-01,316
2019-30-01,334
2019-31-01,323
2019-01-02,342
2019-02-02,320
2019-03-02,285
2019-04-02,288
2019-05-02,296
2019-06-02,303
2019-07-02,286
2019-08-02,296
2019-09-02,291
2019-10-02,271
2019-11-02,306
2019-12-02,320
2019-13-02,329
2019-14-02,331
2019-15-02,303
2019-16-02,320
2019-17-02,257
2019-18-02,272
2019-19-02,303
2019-20-02,303
2019-21-02,303
2019-22-02,327
2019-23-02,297
2019-24-02,264
2019-25-02,286
2019-26-02,313
2019-27-02,321
2019-28-02,310
2019-01-03,352
2019-02-03,325
2019-03-03,274
2019-04-03,301
2019-05-03,324
2019-06-03,306
2019-07-03,305
2019-08-03,327
2019-09-03,341
2019-10-03,294
2019-11-03,292
2019-12-03,266
2019-13-03,280
2019-14-03,297
2019-15-03,312
2019-16-03,320
2019-17-03,264
2019-18-03,296
2019-19-03,320
2019-20-03,314
2019-21-03,297
2019-22-03,307
2019-23-03,344
2019-24-03,265
2019-25-03,267
2019-26-03,303
2019-27-03,299
2019-28-03,277
2019-29-03,284
2019-30-03,292
2019-31-03,259
2019-01-04,313
2019-02-04,316
2019-03-04,293
2019-04-04,279
2019-05-04,303
2019-06-04,310
2019-07-04,251
2019-08-04,313
2019-09-04,302
2019-10-04,302
2019-11-04,298
2019-12-04,305
2019-13-04,308
2019-14-04,268
2019-15-04,315
2019-16-04,315
2019-17-04,323
2019-18-04,283
2019-19-04,346
2019-20-04,288
2019-21-04,253
2019-22-04,332
2019-23-04,353
2019-24-04,342
2019-25-04,348
2019-26-04,367
2019-27-04,333
2019-28-04,302
2019-29-04,310
2019-30-04,289
2019-01-05,376
2019-02-05,341
2019-03-05,307
2019-04-05,309
2019-05-05,272
2019-06-05,290
2019-07-05,283
2019-08-05,300
2019-09-05,303
2019-10-05,378
2019-11-05,330
2019-12-05,272
2019-13-05,311
2019-14-05,312
2019-15-05,354
2019-16-05,337
2019-17-05,362
2019-18-05,338
2019-19-05,279
2019-20-05,314
2019-21-05,323
2019-22-05,347
2019-23-05,344
2019-24-05,340
2019-25-05,312
2019-26-05,273
2019-27-05,260
2019-28-05,329
2019-29-05,330
2019-30-05,314
2019-31-05,336
2019-01-06,324
2019-02-06,325
2019-03-06,356
2019-04-06,346
2019-05-06,344
2019-06-06,334
2019-07-06,345
2019-08-06,325
2019-09-06,324
2019-10-06,332
2019-11-06,345
2019-12-06,335
2019-13-06,329
2019-14-06,311
2019-15-06,333
2019-16-06,291
2019-17-06,330
2019-18-06,327
2019-19-06,364
2019-20-06,330
2019-21-06,333
2019-22-06,289
2019-23-06,297
2019-24-06,327
2019-25-06,340
2019-26-06,334
2019-27-06,314
2019-28-06,341
2019-29-06,319
2019-30-06,265
2019-01-07,343
2019-02-07,337
2019-03-07,357
2019-04-07,295
2019-05-07,320
2019-06-07,320
2019-07-07,275
2019-08-07,335
2019-09-07,315
2019-10-07,331
2019-11-07,335
2019-12-07,351
2019-13-07,311
2019-14-07,267
2019-15-07,363
2019-16-07,343
2019-17-07,365
2019-18-07,345
2019-19-07,361
2019-20-07,353
2019-21-07,308
2019-22-07,342
2019-23-07,363
2019-24-07,346
2019-25-07,352
2019-26-07,361
2019-27-07,348
2019-28-07,279
2019-29-07,344
2019-30-07,315
2019-31-07,314
2019-01-08,359
2019-02-08,359
2019-03-08,344
2019-04-08,307
2019-05-08,326
2019-06-08,339
2019-07-08,348
2019-08-08,371
2019-09-08,358
2019-10-08,343
2019-11-08,309
2019-12-08,338
2019-13-08,330
2019-14-08,335
2019-15-08,323
2019-16-08,342
2019-17-08,340
2019-18-08,291
2019-19-08,335
2019-20-08,325
2019-21-08,355
2019-22-08,380
2019-23-08,318
2019-24-08,350
2019-25-08,282
2019-26-08,315
2019-27-08,354
2019-28-08,322
2019-29-08,335
2019-30-08,379
2019-31-08,317
2019-01-09,313
2019-02-09,299
2019-03-09,333
2019-04-09,346
2019-05-09,361
2019-06-09,364
2019-07-09,343
2019-08-09,296
2019-09-09,316
2019-10-09,325
2019-11-09,327
2019-12-09,328
2019-13-09,361
2019-14-09,318
2019-15-09,285
2019-16-09,321
2019-17-09,338
2019-18-09,354
2019-19-09,333
2019-20-09,328
2019-21-09,301
2019-22-09,240
2019-23-09,314
2019-24-09,307
2019-25-09,295
2019-26-09,305
2019-27-09,313
2019-28-09,305
2019-29-09,291
2019-30-09,290
2019-01-10,314
2019-02-10,281
2019-03-10,271
2019-04-10,285
2019-05-10,289
2019-06-10,261
2019-07-10,294
2019-08-10,307
2019-09-10,294
2019-10-10,299
2019-11-10,290
2019-12-10,300
2019-13-10,244
2019-14-10,250
2019-15-10,297
2019-16-10,330
2019-17-10,316
2019-18-10,330
2019-19-10,314
2019-20-10,251
2019-21-10,300
2019-22-10,316
2019-23-10,296
2019-24-10,298
2019-25-10,316
2019-26-10,302
2019-27-10,259
2019-28-10,321
2019-29-10,300
2019-30-10,333
2019-31-10,332
2019-01-11,358
2019-02-11,319
2019-03-11,276
2019-04-11,311
2019-05-11,300
2019-06-11,335
2019-07-11,320
2019-08-11,291
2019-09-11,299
2019-10-11,268
2019-11-11,329
2019-12-11,292
2019-13-11,304
2019-14-11,323
2019-15-11,352
2019-16-11,317
2019-17-11,267
2019-18-11,310
2019-19-11,318
2019-20-11,327
2019-21-11,298
2019-22-11,335
2019-23-11,311
2019-24-11,294
2019-25-11,337
2019-26-11,308
2019-27-11,351
2019-28-11,310
2019-29-11,288
2019-30-11,307
2019-01-12,287
2019-02-12,310
2019-03-12,323
2019-04-12,347
2019-05-12,349
2019-06-12,374
2019-07-12,357
2019-08-12,291
2019-09-12,317
2019-10-12,329
2019-11-12,358
2019-12-12,341
2019-13-12,349
2019-14-12,330
2019-15-12,292
2019-16-12,311
2019-17-12,354
2019-18-12,346
2019-19-12,342
2019-20-12,380
2019-21-12,335
2019-22-12,313
2019-23-12,363
