Date,number
2019-01-01,189
2019-02-01,243
2019-03-01,258
2019-04-01,284
2019-05-01,273
2019-06-01,230
2019-07-01,204
2019-08-01,273
2019-09-01,275
2019-10-01,271
2019-11-01,296
2019-12-01,270
2019-13-01,152
2019-14-01,228
2019-15-01,276
2019-16-01,272
2019-17-01,272
2019-18-01,300
2019-19-01,288
2019-20-01,239
2019-21-01,250
2019-22-01,266
2019-23-01,263
2019-24-01,293
2019-25-01,321
2019-26-01,298
2019-27-01,243
2019-28-01,286
2019-29-01,275
2019-30-01,270
2019-31-01,266
2019-01-02,273
2019-02-02,275
2019-03-02,230
2019-04-02,281
2019-05-02,305
2019-06-02,262
2019-07-02,296
2019-08-02,268
2019-09-02,265
2019-10-02,238
2019-11-02,250
2019-12-02,278
2019-13-02,300
2019-14-02,267
2019-15-02,289
2019-16-02,257
2019-17-02,243
2019-18-02,263
2019-19-02,282
2019-20-02,250
2019-21-02,268
2019-22-02,307
2019-23-02,285
2019-24-02,221
2019-25-02,285
2019-26-02,288
2019-27-02,272
2019-28-02,288
2019-01-03,281
2019-02-03,278
2019-03-03,219
2019-04-03,270
2019-05-03,277
2019-06-03,280
2019-07-03,291
2019-08-03,293
2019-09-03,238
2019-10-03,200
2019-11-03,207
2019-12-03,223
2019-13-03,217
2019-14-03,238
2019-15-03,251
2019-16-03,243
2019-17-03,230
2019-18-03,264
2019-19-03,287
2019-20-03,273
2019-21-03,284
2019-22-03,292
2019-23-03,299
2019-24-03,245
2019-25-03,258
2019-26-03,291
2019-27-03,286
2019-28-03,285
2019-29-03,316
2019-30-03,237
2019-31-03,231
2019-01-04,266
2019-02-04,264
2019-03-04,285
2019-04-04,295
2019-05-04,281
2019-06-04,278
2019-07-04,243
2019-08-04,276
2019-09-04,307
2019-10-04,298
2019-11-04,299
2019-12-04,311
2019-13-04,293
2019-14-04,257
2019-15-04,306
2019-16-04,309
2019-17-04,318
2019-18-04,327
2019-19-04,290
2019-20-04,296
2019-21-04,245
2019-22-04,289
2019-23-04,308
2019-24-04,299
2019-25-04,296
2019-26-04,342
2019-27-04,319
2019-28-04,277
2019-29-04,299
2019-30-04,303
2019-01-05,306
2019-02-05,339
2019-03-05,348
2019-04-05,296
2019-05-05,298
2019-06-05,333
2019-07-05,319
2019-08-05,330
2019-09-05,356
2019-10-05,377
2019-11-05,354
2019-12-05,324
2019-13-05,321
2019-14-05,371
2019-15-05,354
2019-16-05,354
2019-17-05,358
2019-18-05,340
2019-19-05,272
2019-20-05,333
2019-21-05,340
2019-22-05,353
2019-23-05,378
2019-24-05,356
2019-25-05,289
2019-26-05,305
2019-27-05,253
2019-28-05,338
2019-29-05,331
2019-30-05,375
2019-31-05,385
2019-01-06,344
2019-02-06,304
2019-03-06,317
2019-04-06,342
2019-05-06,346
2019-06-06,359
2019-07-06,337
2019-08-06,327
2019-09-06,292
2019-10-06,334
2019-11-06,321
2019-12-06,318
2019-13-06,293
2019-14-06,335
2019-15-06,279
2019-16-06,297
2019-17-06,317
2019-18-06,322
2019-19-06,330
2019-20-06,350
2019-21-06,321
2019-22-06,314
2019-23-06,311
2019-24-06,329
2019-25-06,255
2019-26-06,282
2019-27-06,272
2019-28-06,293
2019-29-06,251
2019-30-06,252
2019-01-07,239
2019-02-07,231
2019-03-07,240
2019-04-07,215
2019-05-07,223
2019-06-07,230
2019-07-07,222
2019-08-07,233
2019-09-07,219
2019-10-07,257
2019-11-07,264
2019-12-07,234
2019-13-07,224
2019-14-07,226
2019-15-07,216
2019-16-07,257
2019-17-07,281
2019-18-07,232
2019-19-07,252
2019-20-07,234
2019-21-07,234
2019-22-07,257
2019-23-07,248
2019-24-07,262
2019-25-07,271
2019-26-07,282
2019-27-07,237
2019-28-07,218
2019-29-07,239
2019-30-07,235
2019-31-07,262
2019-01-08,268
2019-02-08,269
2019-03-08,231
2019-04-08,237
2019-05-08,235
2019-06-08,256
2019-07-08,232
2019-08-08,241
2019-09-08,278
2019-10-08,236
2019-11-08,227
2019-12-08,264
2019-13-08,275
2019-14-08,315
2019-15-08,298
2019-16-08,337
2019-17-08,272
2019-18-08,264
2019-19-08,274
2019-20-08,286
2019-21-08,301
2019-22-08,295
2019-23-08,294
2019-24-08,291
2019-25-08,261
2019-26-08,290
2019-27-08,265
2019-28-08,268
2019-29-08,273
2019-30-08,308
2019-31-08,269
2019-01-09,277
2019-02-09,241
2019-03-09,276
2019-04-09,297
2019-05-09,316
2019-06-09,336
2019-07-09,294
2019-08-09,248
2019-09-09,306
2019-10-09,307
2019-11-09,308
2019-12-09,320
2019-13-09,321
2019-14-09,305
2019-15-09,266
2019-16-09,303
2019-17-09,296
2019-18-09,306
2019-19-09,307
2019-20-09,329
2019-21-09,307
2019-22-09,301
2019-23-09,321
2019-24-09,298
2019-25-09,297
2019-26-09,316
2019-27-09,359
2019-28-09,278
2019-29-09,259
2019-30-09,293
2019-01-10,322
2019-02-10,289
2019-03-10,310
2019-04-10,339
2019-05-10,326
2019-06-10,291
2019-07-10,286
2019-08-10,271
2019-09-10,256
2019-10-10,251
2019-11-10,306
2019-12-10,292
2019-13-10,248
2019-14-10,244
2019-15-10,255
2019-16-10,253
2019-17-10,284
2019-18-10,264
2019-19-10,275
2019-20-10,225
2019-21-10,258
2019-22-10,278
2019-23-10,248
2019-24-10,287
2019-25-10,290
2019-26-10,291
2019-27-10,226
2019-28-10,256
2019-29-10,273
2019-30-10,263
2019-31-10,245
2019-01-11,302
2019-02-11,300
