Date,number
2019-01-01,197
2019-02-01,234
2019-03-01,255
2019-04-01,254
2019-05-01,246
2019-06-01,212
2019-07-01,217
2019-08-01,268
2019-09-01,289
2019-10-01,270
2019-11-01,315
2019-12-01,274
2019-13-01,229
2019-14-01,252
2019-15-01,267
2019-16-01,284
2019-17-01,278
2019-18-01,271
2019-19-01,232
2019-20-01,211
2019-21-01,273
2019-22-01,268
2019-23-01,272
2019-24-01,285
2019-25-01,277
2019-26-01,254
2019-27-01,266
2019-28-01,258
2019-29-01,247
2019-30-01,262
2019-31-01,276
2019-01-02,327
2019-02-02,277
2019-03-02,247
2019-04-02,292
2019-05-02,296
2019-06-02,316
2019-07-02,288
2019-08-02,327
2019-09-02,285
2019-10-02,241
2019-11-02,302
2019-12-02,323
2019-13-02,322
2019-14-02,321
2019-15-02,318
2019-16-02,258
2019-17-02,238
2019-18-02,323
2019-19-02,312
2019-20-02,360
2019-21-02,356
2019-22-02,343
2019-23-02,301
2019-24-02,281
2019-25-02,372
2019-26-02,342
2019-27-02,339
2019-28-02,358
2019-01-03,336
2019-02-03,312
2019-03-03,273
2019-04-03,309
2019-05-03,301
2019-06-03,341
2019-07-03,338
2019-08-03,360
2019-09-03,312
2019-10-03,314
2019-11-03,345
2019-12-03,333
2019-13-03,340
2019-14-03,353
2019-15-03,365
2019-16-03,338
2019-17-03,313
2019-18-03,353
2019-19-03,370
2019-20-03,363
2019-21-03,384
2019-22-03,389
2019-23-03,352
2019-24-03,310
2019-25-03,345
2019-26-03,307
2019-27-03,348
2019-28-03,345
2019-29-03,373
2019-30-03,333
2019-31-03,274
2019-01-04,325
2019-02-04,348
2019-03-04,319
2019-04-04,364
2019-05-04,344
2019-06-04,296
2019-07-04,291
2019-08-04,340
2019-09-04,324
2019-10-04,320
2019-11-04,342
2019-12-04,374
2019-13-04,333
2019-14-04,311
2019-15-04,340
2019-16-04,328
2019-17-04,381
2019-18-04,403
2019-19-04,389
2019-20-04,329
2019-21-04,263
2019-22-04,322
2019-23-04,342
2019-24-04,357
2019-25-04,387
2019-26-04,323
2019-27-04,297
2019-28-04,259
2019-29-04,313
2019-30-04,324
2019-01-05,371
2019-02-05,386
2019-03-05,403
2019-04-05,357
2019-05-05,304
2019-06-05,335
2019-07-05,356
2019-08-05,317
2019-09-05,348
2019-10-05,372
2019-11-05,351
2019-12-05,281
2019-13-05,302
2019-14-05,335
2019-15-05,342
2019-16-05,355
2019-17-05,358
2019-18-05,316
2019-19-05,284
2019-20-05,341
2019-21-05,353
2019-22-05,322
2019-23-05,337
2019-24-05,378
2019-25-05,316
2019-26-05,284
2019-27-05,240
2019-28-05,337
2019-29-05,353
2019-30-05,330
2019-31-05,345
2019-01-06,329
2019-02-06,306
2019-03-06,325
2019-04-06,336
2019-05-06,381
2019-06-06,343
2019-07-06,409
2019-08-06,355
2019-09-06,339
2019-10-06,336
2019-11-06,358
2019-12-06,358
2019-13-06,346
2019-14-06,341
2019-15-06,337
2019-16-06,329
2019-17-06,341
2019-18-06,363
2019-19-06,385
2019-20-06,365
2019-21-06,346
2019-22-06,333
2019-23-06,296
2019-24-06,285
2019-25-06,320
2019-26-06,294
2019-27-06,308
2019-28-06,286
2019-29-06,293
2019-30-06,250
2019-01-07,266
2019-02-07,285
2019-03-07,280
2019-04-07,215
2019-05-07,262
2019-06-07,264
2019-07-07,230
2019-08-07,248
2019-09-07,264
2019-10-07,293
2019-11-07,270
2019-12-07,279
2019-13-07,287
2019-14-07,232
2019-15-07,261
2019-16-07,261
2019-17-07,255
2019-18-07,241
2019-19-07,262
2019-20-07,262
2019-21-07,244
2019-22-07,264
2019-23-07,258
2019-24-07,278
2019-25-07,262
2019-26-07,284
2019-27-07,260
2019-28-07,201
2019-29-07,238
2019-30-07,275
2019-31-07,263
2019-01-08,273
2019-02-08,266
2019-03-08,230
2019-04-08,223
2019-05-08,265
2019-06-08,258
2019-07-08,264
2019-08-08,295
2019-09-08,281
2019-10-08,251
2019-11-08,246
2019-12-08,275
2019-13-08,258
2019-14-08,284
2019-15-08,296
2019-16-08,275
2019-17-08,286
2019-18-08,237
2019-19-08,280
2019-20-08,264
2019-21-08,260
2019-22-08,291
2019-23-08,294
2019-24-08,265
2019-25-08,220
2019-26-08,238
2019-27-08,265
2019-28-08,273
2019-29-08,277
2019-30-08,297
2019-31-08,257
2019-01-09,248
2019-02-09,227
2019-03-09,312
2019-04-09,324
2019-05-09,303
2019-06-09,343
2019-07-09,325
2019-08-09,249
2019-09-09,280
2019-10-09,291
2019-11-09,337
2019-12-09,299
2019-13-09,343
2019-14-09,294
2019-15-09,280
2019-16-09,304
2019-17-09,318
2019-18-09,316
2019-19-09,307
2019-20-09,298
2019-21-09,282
2019-22-09,264
2019-23-09,274
2019-24-09,301
2019-25-09,290
2019-26-09,324
2019-27-09,314
2019-28-09,302
2019-29-09,250
2019-30-09,278
2019-01-10,298
2019-02-10,276
2019-03-10,252
2019-04-10,265
2019-05-10,250
2019-06-10,210
2019-07-10,264
2019-08-10,266
2019-09-10,269
2019-10-10,273
2019-11-10,287
2019-12-10,244
2019-13-10,236
2019-14-10,245
2019-15-10,293
2019-16-10,334
2019-17-10,317
2019-18-10,306
2019-19-10,263
2019-20-10,279
2019-21-10,251
2019-22-10,297
2019-23-10,300
2019-24-10,287
2019-25-10,280
2019-26-10,291
2019-27-10,256
2019-28-10,275
2019-29-10,274
2019-30-10,284
2019-31-10,301
2019-01-11,330
2019-02-11,296
2019-03-11,259
2019-04-11,275
2019-05-11,289
2019-06-11,294
2019-07-11,276
2019-08-11,333
2019-09-11,265
2019-10-11,224
2019-11-11,277
2019-12-11,288
2019-13-11,297
2019-14-11,276
2019-15-11,326
2019-16-11,307
2019-17-11,266
2019-18-11,293
2019-19-11,318
2019-20-11,316
2019-21-11,283
2019-22-11,306
2019-23-11,273
2019-24-11,251
2019-25-11,285
2019-26-11,303
2019-27-11,301
2019-28-11,208
2019-29-11,267
2019-30-11,278
2019-01-12,220
2019-02-12,302
2019-03-12,272
2019-04-12,303
2019-05-12,276
2019-06-12,320
2019-07-12,279
2019-08-12,240
2019-09-12,284
2019-10-12,293
2019-11-12,325
2019-12-12,297
2019-13-12,337
2019-14-12,272
2019-15-12,242
2019-16-12,288
2019-17-12,292
2019-18-12,326
2019-19-12,303
2019-20-12,321
2019-21-12,299
2019-22-12,258
2019-23-12,329
