Date,number
2019-01-01,162
2019-02-01,220
2019-03-01,271
2019-04-01,256
2019-05-01,216
2019-06-01,200
2019-07-01,275
2019-08-01,259
2019-09-01,297
2019-10-01,287
2019-11-01,272
2019-12-01,250
2019-13-01,229
2019-14-01,266
2019-15-01,270
2019-16-01,255
2019-17-01,239
2019-18-01,295
2019-19-01,226
2019-20-01,195
2019-21-01,207
2019-22-01,263
2019-23-01,284
2019-24-01,251
2019-25-01,264
2019-26-01,248
2019-27-01,192
2019-28-01,266
2019-29-01,261
2019-30-01,261
2019-31-01,242
2019-01-02,264
2019-02-02,226
2019-03-02,181
2019-04-02,273
2019-05-02,279
2019-06-02,271
2019-07-02,264
2019-08-02,296
2019-09-02,261
2019-10-02,225
2019-11-02,299
2019-12-02,295
2019-13-02,303
2019-14-02,325
2019-15-02,341
2019-16-02,258
2019-17-02,180
2019-18-02,275
2019-19-02,321
2019-20-02,308
2019-21-02,302
2019-22-02,305
2019-23-02,270
2019-24-02,212
2019-25-02,283
2019-26-02,286
2019-27-02,310
2019-28-02,290
2019-01-03,284
2019-02-03,242
2019-03-03,194
2019-04-03,247
2019-05-03,277
2019-06-03,269
2019-07-03,253
2019-08-03,252
2019-09-03,200
2019-10-03,189
2019-11-03,264
2019-12-03,251
2019-13-03,248
2019-14-03,253
2019-15-03,281
2019-16-03,223
2019-17-03,202
2019-18-03,272
2019-19-03,265
2019-20-03,266
2019-21-03,264
2019-22-03,279
2019-23-03,226
2019-24-03,224
2019-25-03,253
2019-26-03,280
2019-27-03,245
2019-28-03,256
2019-29-03,268
2019-30-03,203
2019-31-03,178
2019-01-04,274
2019-02-04,241
2019-03-04,270
2019-04-04,271
2019-05-04,298
2019-06-04,244
2019-07-04,207
2019-08-04,249
2019-09-04,281
2019-10-04,271
2019-11-04,266
2019-12-04,312
2019-13-04,225
2019-14-04,220
2019-15-04,288
2019-16-04,285
2019-17-04,295
2019-18-04,244
2019-19-04,227
2019-20-04,227
2019-21-04,173
2019-22-04,237
2019-23-04,285
2019-24-04,286
2019-25-04,288
2019-26-04,293
2019-27-04,208
2019-28-04,200
2019-29-04,244
2019-30-04,237
2019-01-05,218
2019-02-05,234
2019-03-05,294
2019-04-05,243
2019-05-05,196
2019-06-05,256
2019-07-05,258
2019-08-05,322
2019-09-05,323
2019-10-05,342
2019-11-05,284
2019-12-05,225
2019-13-05,337
2019-14-05,305
2019-15-05,279
2019-16-05,279
2019-17-05,259
2019-18-05,240
2019-19-05,186
2019-20-05,259
2019-21-05,253
2019-22-05,239
2019-23-05,267
2019-24-05,260
2019-25-05,231
2019-26-05,195
2019-27-05,197
2019-28-05,197
2019-29-05,245
2019-30-05,249
2019-31-05,286
2019-01-06,273
2019-02-06,217
2019-03-06,297
2019-04-06,261
2019-05-06,273
2019-06-06,261
2019-07-06,269
2019-08-06,264
2019-09-06,193
2019-10-06,237
2019-11-06,241
2019-12-06,268
2019-13-06,272
2019-14-06,249
2019-15-06,208
2019-16-06,152
2019-17-06,216
2019-18-06,224
2019-19-06,258
2019-20-06,211
2019-21-06,230
2019-22-06,196
2019-23-06,149
2019-24-06,213
2019-25-06,200
2019-26-06,217
2019-27-06,214
2019-28-06,246
2019-29-06,197
2019-30-06,145
2019-01-07,213
2019-02-07,230
2019-03-07,200
2019-04-07,157
2019-05-07,208
2019-06-07,207
2019-07-07,173
2019-08-07,237
2019-09-07,227
2019-10-07,215
2019-11-07,208
2019-12-07,227
2019-13-07,240
2019-14-07,164
2019-15-07,242
2019-16-07,239
2019-17-07,231
