Date,number
2019-01-01,109
2019-02-01,112
2019-03-01,114
2019-04-01,123
2019-05-01,101
2019-06-01,98
2019-07-01,97
2019-08-01,110
2019-09-01,96
2019-10-01,108
2019-11-01,115
2019-12-01,122
2019-13-01,109
2019-14-01,97
2019-15-01,97
2019-16-01,99
2019-17-01,101
2019-18-01,111
2019-19-01,99
2019-20-01,97
2019-21-01,108
2019-22-01,109
2019-23-01,84
2019-24-01,93
2019-25-01,120
2019-26-01,99
2019-27-01,101
2019-28-01,97
2019-29-01,92
2019-30-01,90
2019-31-01,121
2019-01-02,115
2019-02-02,99
2019-03-02,89
2019-04-02,99
2019-05-02,111
2019-06-02,100
2019-07-02,102
2019-08-02,110
2019-09-02,107
2019-10-02,109
2019-11-02,109
2019-12-02,112
2019-13-02,119
2019-14-02,125
2019-15-02,121
2019-16-02,88
2019-17-02,101
2019-18-02,109
2019-19-02,111
2019-20-02,116
2019-21-02,111
2019-22-02,124
2019-23-02,108
2019-24-02,107
2019-25-02,111
2019-26-02,117
2019-27-02,105
2019-28-02,103
2019-01-03,152
2019-02-03,124
2019-03-03,118
2019-04-03,130
2019-05-03,122
2019-06-03,125
2019-07-03,147
2019-08-03,127
2019-09-03,126
2019-10-03,121
2019-11-03,116
2019-12-03,95
2019-13-03,121
2019-14-03,140
2019-15-03,139
2019-16-03,136
2019-17-03,125
2019-18-03,117
2019-19-03,141
2019-20-03,134
2019-21-03,131
2019-22-03,134
2019-23-03,121
2019-24-03,108
2019-25-03,121
2019-26-03,129
2019-27-03,133
2019-28-03,143
2019-29-03,151
2019-30-03,122
2019-31-03,121
2019-01-04,140
2019-02-04,128
2019-03-04,114
2019-04-04,106
2019-05-04,109
2019-06-04,131
2019-07-04,117
2019-08-04,131
2019-09-04,120
2019-10-04,145
2019-11-04,137
2019-12-04,140
2019-13-04,149
2019-14-04,131
2019-15-04,130
2019-16-04,124
2019-17-04,121
2019-18-04,139
2019-19-04,122
2019-20-04,129
2019-21-04,131
2019-22-04,161
2019-23-04,171
2019-24-04,173
2019-25-04,155
2019-26-04,183
2019-27-04,147
2019-28-04,128
2019-29-04,157
2019-30-04,151
2019-01-05,140
2019-02-05,141
2019-03-05,143
2019-04-05,144
2019-05-05,118
2019-06-05,153
2019-07-05,148
2019-08-05,135
2019-09-05,154
2019-10-05,151
2019-11-05,152
2019-12-05,126
2019-13-05,127
2019-14-05,133
2019-15-05,146
2019-16-05,158
2019-17-05,167
2019-18-05,165
2019-19-05,113
2019-20-05,110
2019-21-05,145
2019-22-05,123
2019-23-05,133
2019-24-05,165
2019-25-05,143
2019-26-05,131
2019-27-05,115
2019-28-05,134
2019-29-05,116
2019-30-05,139
2019-31-05,148
2019-01-06,126
2019-02-06,109
2019-03-06,115
2019-04-06,123
2019-05-06,118
2019-06-06,133
2019-07-06,90
2019-08-06,121
2019-09-06,90
2019-10-06,123
2019-11-06,116
2019-12-06,102
2019-13-06,106
2019-14-06,115
2019-15-06,120
2019-16-06,135
2019-17-06,111
2019-18-06,144
2019-19-06,95
2019-20-06,119
2019-21-06,117
2019-22-06,97
2019-23-06,95
2019-24-06,111
2019-25-06,94
2019-26-06,104
2019-27-06,110
2019-28-06,128
2019-29-06,118
2019-30-06,93
2019-01-07,98
2019-02-07,90
2019-03-07,121
2019-04-07,104
2019-05-07,122
2019-06-07,119
2019-07-07,109
2019-08-07,97
2019-09-07,113
2019-10-07,118
2019-11-07,127
2019-12-07,131
2019-13-07,119
2019-14-07,106
2019-15-07,128
2019-16-07,130
2019-17-07,127
2019-18-07,124
2019-19-07,124
2019-20-07,111
2019-21-07,107
2019-22-07,118
2019-23-07,106
2019-24-07,112
2019-25-07,100
2019-26-07,128
2019-27-07,122
2019-28-07,93
2019-29-07,117
2019-30-07,147
2019-31-07,125
2019-01-08,143
2019-02-08,139
2019-03-08,158
2019-04-08,125
2019-05-08,158
2019-06-08,134
2019-07-08,125
2019-08-08,122
2019-09-08,158
2019-10-08,114
2019-11-08,116
2019-12-08,123
2019-13-08,143
2019-14-08,136
2019-15-08,143
2019-16-08,132
2019-17-08,119
2019-18-08,119
2019-19-08,121
2019-20-08,111
2019-21-08,103
2019-22-08,121
2019-23-08,120
2019-24-08,125
2019-25-08,118
2019-26-08,108
2019-27-08,100
2019-28-08,108
2019-29-08,124
2019-30-08,119
2019-31-08,106
2019-01-09,133
