Date,number
2019-01-01,484
2019-02-01,603
2019-03-01,623
2019-04-01,625
2019-05-01,571
2019-06-01,542
2019-07-01,529
2019-08-01,644
2019-09-01,663
2019-10-01,669
2019-11-01,693
2019-12-01,593
2019-13-01,564
2019-14-01,602
2019-15-01,661
2019-16-01,669
2019-17-01,662
2019-18-01,668
2019-19-01,631
2019-20-01,552
2019-21-01,587
2019-22-01,668
2019-23-01,670
2019-24-01,673
2019-25-01,737
2019-26-01,625
2019-27-01,500
2019-28-01,614
2019-29-01,667
2019-30-01,637
2019-31-01,669
2019-01-02,705
2019-02-02,635
2019-03-02,563
2019-04-02,632
2019-05-02,646
2019-06-02,666
2019-07-02,648
2019-08-02,711
2019-09-02,590
2019-10-02,535
2019-11-02,628
2019-12-02,674
2019-13-02,676
2019-14-02,691
2019-15-02,647
2019-16-02,653
2019-17-02,536
2019-18-02,638
2019-19-02,696
2019-20-02,739
2019-21-02,731
2019-22-02,738
2019-23-02,646
2019-24-02,645
2019-25-02,732
2019-26-02,699
2019-27-02,700
2019-28-02,741
2019-01-03,751
2019-02-03,709
2019-03-03,625
2019-04-03,725
2019-05-03,701
2019-06-03,708
2019-07-03,772
2019-08-03,778
2019-09-03,674
2019-10-03,595
2019-11-03,703
2019-12-03,680
2019-13-03,746
2019-14-03,745
2019-15-03,819
2019-16-03,699
2019-17-03,667
2019-18-03,715
2019-19-03,746
2019-20-03,751
2019-21-03,796
2019-22-03,759
2019-23-03,753
2019-24-03,643
2019-25-03,740
2019-26-03,742
2019-27-03,720
2019-28-03,749
2019-29-03,748
2019-30-03,664
2019-31-03,616
2019-01-04,716
2019-02-04,733
2019-03-04,760
2019-04-04,785
2019-05-04,816
2019-06-04,732
2019-07-04,661
2019-08-04,749
2019-09-04,777
2019-10-04,775
2019-11-04,800
2019-12-04,828
2019-13-04,743
2019-14-04,741
2019-15-04,806
2019-16-04,755
2019-17-04,807
2019-18-04,844
2019-19-04,808
2019-20-04,764
2019-21-04,674
2019-22-04,795
2019-23-04,778
2019-24-04,765
2019-25-04,843
2019-26-04,836
2019-27-04,753
2019-28-04,701
2019-29-04,691
2019-30-04,730
2019-01-05,704
2019-02-05,735
2019-03-05,813
2019-04-05,793
2019-05-05,749
2019-06-05,767
2019-07-05,737
2019-08-05,767
2019-09-05,772
2019-10-05,819
2019-11-05,761
2019-12-05,770
2019-13-05,779
2019-14-05,813
2019-15-05,800
2019-16-05,824
2019-17-05,830
2019-18-05,756
2019-19-05,666
2019-20-05,708
2019-21-05,707
2019-22-05,736
2019-23-05,779
2019-24-05,783
2019-25-05,722
2019-26-05,689
2019-27-05,628
2019-28-05,743
2019-29-05,768
2019-30-05,764
2019-31-05,853
2019-01-06,756
2019-02-06,747
2019-03-06,764
2019-04-06,834
2019-05-06,817
2019-06-06,801
2019-07-06,873
2019-08-06,831
2019-09-06,767
2019-10-06,828
2019-11-06,846
2019-12-06,840
2019-13-06,779
2019-14-06,823
2019-15-06,724
2019-16-06,692
2019-17-06,702
2019-18-06,811
2019-19-06,768
2019-20-06,793
2019-21-06,812
2019-22-06,778
2019-23-06,732
2019-24-06,709
2019-25-06,644
2019-26-06,649
2019-27-06,699
2019-28-06,721
2019-29-06,667
2019-30-06,617
2019-01-07,585
2019-02-07,616
2019-03-07,664
2019-04-07,605
2019-05-07,734
2019-06-07,617
2019-07-07,635
2019-08-07,627
2019-09-07,629
2019-10-07,620
2019-11-07,622
2019-12-07,699
2019-13-07,650
2019-14-07,591
2019-15-07,644
2019-16-07,640
2019-17-07,680
2019-18-07,688
2019-19-07,659
2019-20-07,619
2019-21-07,579
2019-22-07,622
2019-23-07,682
2019-24-07,656
2019-25-07,622
2019-26-07,686
2019-27-07,605
2019-28-07,555
2019-29-07,638
2019-30-07,629
2019-31-07,635
2019-01-08,720
2019-02-08,728
2019-03-08,673
2019-04-08,580
2019-05-08,692
2019-06-08,677
2019-07-08,736
2019-08-08,720
2019-09-08,814
2019-10-08,731
2019-11-08,654
2019-12-08,678
2019-13-08,726
2019-14-08,790
2019-15-08,735
2019-16-08,777
2019-17-08,719
2019-18-08,691
2019-19-08,709
2019-20-08,687
2019-21-08,679
2019-22-08,675
2019-23-08,726
2019-24-08,706
2019-25-08,636
2019-26-08,730
2019-27-08,731
2019-28-08,723
2019-29-08,777
2019-30-08,752
2019-31-08,735
2019-01-09,741
2019-02-09,693
2019-03-09,766
2019-04-09,648
2019-05-09,629
2019-06-09,794
2019-07-09,755
2019-08-09,654
2019-09-09,751
2019-10-09,776
2019-11-09,861
2019-12-09,776
2019-13-09,872
2019-14-09,786
2019-15-09,710
2019-16-09,787
2019-17-09,738
2019-18-09,785
2019-19-09,808
2019-20-09,789
2019-21-09,756
2019-22-09,661
2019-23-09,757
2019-24-09,704
2019-25-09,711
2019-26-09,735
2019-27-09,775
2019-28-09,768
2019-29-09,676
2019-30-09,712
2019-01-10,716
2019-02-10,744
2019-03-10,733
2019-04-10,802
2019-05-10,727
2019-06-10,708
2019-07-10,673
2019-08-10,700
2019-09-10,697
2019-10-10,717
2019-11-10,751
2019-12-10,733
2019-13-10,660
2019-14-10,655
2019-15-10,679
2019-16-10,739
2019-17-10,713
2019-18-10,821
2019-19-10,604
2019-20-10,615
2019-21-10,748
2019-22-10,730
2019-23-10,772
2019-24-10,724
2019-25-10,789
2019-26-10,711
2019-27-10,592
2019-28-10,637
2019-29-10,678
2019-30-10,665
2019-31-10,640
2019-01-11,775
2019-02-11,742
2019-03-11,609
2019-04-11,717
2019-05-11,736
2019-06-11,725
2019-07-11,744
2019-08-11,769
2019-09-11,726
2019-10-11,684
2019-11-11,723
2019-12-11,731
2019-13-11,673
2019-14-11,731
2019-15-11,790
2019-16-11,710
2019-17-11,682
2019-18-11,728
2019-19-11,743
2019-20-11,723
2019-21-11,732
2019-22-11,787
2019-23-11,713
2019-24-11,631
2019-25-11,741
2019-26-11,714
2019-27-11,779
2019-28-11,575
2019-29-11,698
2019-30-11,700
2019-01-12,625
2019-02-12,712
2019-03-12,672
2019-04-12,666
2019-05-12,718
2019-06-12,761
2019-07-12,730
2019-08-12,683
2019-09-12,723
2019-10-12,723
2019-11-12,716
2019-12-12,757
2019-13-12,748
2019-14-12,727
2019-15-12,660
2019-16-12,806
2019-17-12,752
2019-18-12,821
2019-19-12,766
2019-20-12,834
2019-21-12,729
2019-22-12,659
2019-23-12,715
