Date,number
2019-01-01,63
2019-02-01,71
2019-03-01,89
2019-04-01,91
2019-05-01,80
2019-06-01,83
2019-07-01,73
2019-08-01,81
2019-09-01,85
2019-10-01,95
2019-11-01,82
2019-12-01,103
2019-13-01,96
2019-14-01,83
2019-15-01,85
2019-16-01,92
2019-17-01,101
2019-18-01,108
2019-19-01,111
2019-20-01,59
2019-21-01,86
2019-22-01,88
2019-23-01,98
2019-24-01,81
2019-25-01,92
2019-26-01,97
2019-27-01,71
2019-28-01,88
2019-29-01,86
2019-30-01,74
2019-31-01,92
2019-01-02,94
2019-02-02,86
2019-03-02,73
2019-04-02,78
2019-05-02,78
2019-06-02,80
2019-07-02,71
2019-08-02,78
2019-09-02,70
2019-10-02,71
2019-11-02,77
2019-12-02,54
2019-13-02,92
2019-14-02,83
2019-15-02,77
2019-16-02,69
2019-17-02,71
2019-18-02,80
2019-19-02,78
2019-20-02,73
2019-21-02,75
2019-22-02,82
2019-23-02,84
2019-24-02,74
2019-25-02,65
2019-26-02,76
2019-27-02,71
2019-28-02,68
2019-01-03,67
2019-02-03,63
2019-03-03,56
2019-04-03,59
2019-05-03,57
2019-06-03,61
2019-07-03,64
2019-08-03,66
2019-09-03,61
2019-10-03,50
2019-11-03,57
2019-12-03,53
2019-13-03,60
2019-14-03,63
2019-15-03,77
2019-16-03,76
2019-17-03,52
2019-18-03,55
2019-19-03,57
2019-20-03,67
2019-21-03,59
2019-22-03,69
2019-23-03,81
2019-24-03,64
2019-25-03,64
2019-26-03,69
2019-27-03,60
2019-28-03,72
2019-29-03,71
2019-30-03,73
2019-31-03,69
2019-01-04,71
2019-02-04,65
2019-03-04,79
2019-04-04,85
2019-05-04,90
2019-06-04,82
2019-07-04,73
2019-08-04,80
2019-09-04,82
2019-10-04,72
2019-11-04,79
2019-12-04,91
2019-13-04,85
2019-14-04,100
2019-15-04,88
2019-16-04,72
2019-17-04,82
2019-18-04,81
2019-19-04,79
2019-20-04,96
2019-21-04,74
2019-22-04,74
2019-23-04,77
2019-24-04,85
2019-25-04,84
2019-26-04,90
2019-27-04,92
2019-28-04,81
2019-29-04,93
2019-30-04,78
2019-01-05,96
2019-02-05,89
2019-03-05,105
2019-04-05,103
2019-05-05,79
2019-06-05,96
2019-07-05,111
2019-08-05,104
2019-09-05,90
2019-10-05,122
2019-11-05,116
2019-12-05,97
2019-13-05,104
2019-14-05,117
2019-15-05,100
2019-16-05,106
2019-17-05,115
2019-18-05,95
2019-19-05,93
2019-20-05,97
2019-21-05,98
2019-22-05,113
2019-23-05,127
2019-24-05,119
2019-25-05,105
2019-26-05,111
2019-27-05,104
2019-28-05,93
2019-29-05,109
2019-30-05,102
2019-31-05,94
2019-01-06,125
2019-02-06,124
2019-03-06,100
2019-04-06,97
2019-05-06,106
2019-06-06,101
2019-07-06,93
2019-08-06,95
2019-09-06,87
2019-10-06,98
2019-11-06,88
2019-12-06,89
2019-13-06,85
2019-14-06,98
2019-15-06,115
2019-16-06,96
2019-17-06,95
2019-18-06,87
2019-19-06,97
2019-20-06,101
2019-21-06,94
2019-22-06,82
2019-23-06,78
2019-24-06,93
2019-25-06,108
2019-26-06,93
2019-27-06,91
2019-28-06,90
2019-29-06,100
2019-30-06,104
2019-01-07,80
2019-02-07,84
2019-03-07,80
2019-04-07,67
2019-05-07,78
2019-06-07,86
2019-07-07,72
2019-08-07,91
2019-09-07,69
2019-10-07,79
2019-11-07,78
2019-12-07,75
2019-13-07,63
2019-14-07,62
2019-15-07,79
2019-16-07,83
2019-17-07,95
2019-18-07,85
2019-19-07,76
2019-20-07,96
2019-21-07,80
2019-22-07,75
2019-23-07,80
2019-24-07,69
2019-25-07,63
2019-26-07,86
2019-27-07,71
2019-28-07,80
2019-29-07,66
2019-30-07,86
2019-31-07,90
2019-01-08,69
2019-02-08,87
2019-03-08,99
2019-04-08,83
2019-05-08,73
2019-06-08,70
2019-07-08,80
2019-08-08,93
2019-09-08,96
2019-10-08,90
2019-11-08,77
2019-12-08,79
2019-13-08,88
2019-14-08,94
2019-15-08,85
2019-16-08,85
2019-17-08,85
2019-18-08,72
2019-19-08,80
2019-20-08,81
2019-21-08,94
2019-22-08,91
2019-23-08,70
2019-24-08,94
2019-25-08,84
2019-26-08,100
2019-27-08,93
2019-28-08,107
2019-29-08,106
2019-30-08,101
2019-31-08,105
2019-01-09,85
2019-02-09,92
2019-03-09,95
2019-04-09,86
2019-05-09,89
2019-06-09,88
2019-07-09,117
2019-08-09,90
2019-09-09,96
2019-10-09,92
2019-11-09,95
2019-12-09,102
2019-13-09,104
2019-14-09,123
2019-15-09,98
2019-16-09,100
2019-17-09,112
2019-18-09,123
2019-19-09,107
2019-20-09,108
2019-21-09,110
2019-22-09,109
2019-23-09,99
2019-24-09,94
2019-25-09,97
2019-26-09,98
2019-27-09,108
2019-28-09,108
2019-29-09,119
2019-30-09,119
2019-01-10,107
2019-02-10,124
2019-03-10,108
2019-04-10,121
2019-05-10,111
2019-06-10,97
2019-07-10,91
2019-08-10,91
2019-09-10,103
2019-10-10,93
2019-11-10,89
2019-12-10,116
2019-13-10,87
2019-14-10,98
2019-15-10,84
2019-16-10,91
2019-17-10,78
2019-18-10,91
2019-19-10,101
2019-20-10,91
2019-21-10,80
2019-22-10,92
2019-23-10,104
2019-24-10,97
2019-25-10,104
2019-26-10,107
2019-27-10,80
2019-28-10,101
2019-29-10,101
2019-30-10,97
2019-31-10,96
2019-01-11,87
2019-02-11,98
2019-03-11,86
2019-04-11,88
2019-05-11,97
2019-06-11,101
2019-07-11,100
2019-08-11,122
2019-09-11,112
2019-10-11,123
2019-11-11,111
2019-12-11,97
2019-13-11,92
2019-14-11,102
2019-15-11,137
2019-16-11,122
2019-17-11,105
2019-18-11,111
2019-19-11,126
2019-20-11,114
2019-21-11,104
2019-22-11,117
2019-23-11,111
2019-24-11,103
2019-25-11,121
2019-26-11,116
2019-27-11,117
2019-28-11,82
2019-29-11,142
2019-30-11,106
2019-01-12,74
2019-02-12,58
2019-03-12,97
2019-04-12,115
2019-05-12,111
2019-06-12,110
2019-07-12,108
2019-08-12,97
2019-09-12,91
2019-10-12,110
2019-11-12,100
2019-12-12,102
2019-13-12,110
2019-14-12,109
2019-15-12,92
2019-16-12,103
2019-17-12,66
2019-18-12,109
2019-19-12,81
2019-20-12,111
2019-21-12,135
2019-22-12,90
2019-23-12,112
